y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45
39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,32,19,31,19,30,19,29,19,28,19,27,19,26,19,25,19,24,19,23,19,22,19,21,19,20,19,19,19,18,19,18,20,18,21,17,21,16,21,15,21,14,21,13,21,12,21,11,21,10,21,9,21,8,21,7,21,6,21,5,21,4,21,4,20,3,20,2,20,1,20,0,20
39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,31,17,30,17,29,17,28,17,27,17,26,17,26,18,25,18,24,18,23,18,22,18,21,18,20,18,19,18,18,18,17,18,17,19,16,19,15,19,15,20,14,20,13,20,12,20,11,20,10,20,9,20,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,29,18,28,18,28,19,27,19,26,19,25,19,24,19,24,20,23,20,22,20,21,20,20,20,19,20,19,21,18,21,18,22,17,22,16,22,15,22,14,22,13,22,12,22,12,21,12,20,11,20,10,20,9,20,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,18,38,18,37,18,36,18,35,18,34,18,34,17,33,17,32,17,31,17,30,17,29,17,28,17,27,17,26,17,25,17,25,16,25,17,25,18,24,18,23,18,23,19,22,19,21,19,20,19,19,19,18,19,17,19,17,20,16,20,15,20,14,20,13,20,12,20,11,20,10,20,9,20,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,30,17,29,17,28,17,27,17,26,17,25,17,24,17,23,17,23,16,22,16,21,16,21,17,20,17,19,17,18,17,17,17,16,17,16,18,15,18,14,18,13,18,12,18,11,18,10,18,9,18,9,19,8,19,7,19,6,19,5,19,4,19,4,20,3,20,2,20,1,20,0,20
39,18,39,18,39,18,38,18,37,18,36,18,36,19,35,19,34,19,33,19,32,19,31,19,31,20,30,20,29,20,28,20,27,20,26,20,25,20,24,20,24,21,23,21,22,21,21,21,20,21,19,21,18,21,17,21,16,21,15,21,14,21,13,21,12,21,11,21,11,20,10,20,9,20,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,29,18,28,18,27,18,26,18,26,17,25,17,24,17,23,17,22,17,21,17,20,17,19,17,18,17,17,17,16,17,15,17,14,17,13,17,12,17,11,17,10,17,9,17,9,18,8,18,8,19,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,29,18,28,18,27,18,26,18,25,18,24,18,23,18,22,18,21,18,20,18,19,18,18,18,17,18,16,18,15,18,15,19,14,19,13,19,13,20,12,20,11,20,10,20,9,20,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,35,19,34,19,33,19,32,19,31,19,30,19,29,19,28,19,27,19,26,19,25,19,24,19,23,19,22,19,21,19,20,19,19,19,18,19,17,19,16,19,15,19,14,19,13,19,12,19,11,19,10,19,9,19,9,20,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,29,18,28,18,27,18,26,18,25,18,24,18,23,18,22,18,21,18,20,18,19,18,18,18,17,18,16,18,15,18,14,18,13,18,12,18,11,18,10,18,9,18,8,18,8,19,7,19,6,19,5,19,4,19,3,19,2,19,1,19,1,20,0,20
39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,29,18,28,18,27,18,26,18,25,18,24,18,23,18,22,18,21,18,20,18,19,18,18,18,17,18,16,18,15,18,14,18,14,19,13,19,12,19,11,19,10,19,9,19,8,19,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,29,18,28,18,27,18,26,18,25,18,24,18,23,18,23,19,22,19,21,19,20,19,19,19,18,19,18,20,17,20,16,20,15,20,14,20,13,20,12,20,11,20,10,20,9,20,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,29,18,28,18,28,19,27,19,26,19,25,19,24,19,23,19,22,19,21,19,20,19,19,19,18,19,17,19,16,19,15,19,14,19,14,20,13,20,12,20,11,20,10,20,9,20,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,29,18,28,18,27,18,26,18,25,18,24,18,23,18,22,18,22,19,22,20,21,20,20,20,19,20,18,20,18,21,17,21,16,21,15,21,14,21,13,21,12,21,12,22,11,22,10,22,10,21,10,20,9,20,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,30,17,29,17,28,17,27,17,26,17,25,17,24,17,23,17,22,17,21,17,20,17,19,17,18,17,17,17,16,17,16,18,15,18,14,18,14,19,13,19,12,19,11,19,10,19,10,20,9,20,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
