y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,32,8,31,8,30,8,29,8,28,8,27,8,26,8,25,8,24,8,23,8,22,8,21,8,20,8,19,8,18,8,17,8,16,8,15,8,14,8,13,8,12,8,11,8,11,9,11,10,11,11,11,12,11,13,11,14,10,14,9,14,8,14,8,15,8,16,8,17,8,18,7,18,7,19,7,20,6,20,6,21,5,21,5,22,5,23,4,23,3,23,3,24,2,24,1,24,0,24
39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,32,8,31,8,30,8,29,8,28,8,27,8,27,7,26,7,25,7,25,6,24,6,24,5,23,5,22,5,21,5,21,4,20,4,19,4,18,4,18,5,18,6,18,7,18,8,18,9,17,9,16,9,16,10,16,11,16,12,15,12,14,12,13,12,13,13,13,14,13,15,12,15,12,16,12,17,12,18,12,19,12,20,12,21,11,21,10,21,10,22,10,23,10,24,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,33,9,32,9,31,9,31,10,30,10,29,10,28,10,27,10,26,10,26,11,25,11,25,12,24,12,24,13,23,13,23,14,23,15,22,15,21,15,20,15,20,16,19,16,18,16,17,16,16,16,15,16,15,17,15,18,14,18,13,18,12,18,11,18,10,18,10,19,9,19,9,20,9,21,9,22,8,22,7,22,6,22,5,22,5,23,4,23,4,24,3,24,2,24,1,24,0,24
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,36,9,35,9,34,9,33,9,32,9,31,9,31,10,31,11,31,12,30,12,29,12,28,12,27,12,26,12,25,12,24,12,23,12,22,12,21,12,20,12,20,13,20,14,20,15,20,16,19,16,19,17,19,18,18,18,18,19,17,19,17,20,17,21,16,21,15,21,15,22,14,22,13,22,12,22,12,23,11,23,11,24,10,24,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,32,8,32,9,31,9,31,10,30,10,29,10,29,11,28,11,27,11,26,11,25,11,24,11,23,11,23,12,22,12,21,12,21,13,20,13,19,13,19,14,18,14,18,15,17,15,17,16,16,16,16,17,16,18,16,19,15,19,14,19,13,19,12,19,12,20,12,21,12,22,12,23,12,24,11,24,10,24,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,37,9,36,9,35,9,34,9,33,9,32,9,31,9,30,9,30,10,29,10,28,10,27,10,27,11,27,12,26,12,25,12,25,13,24,13,23,13,22,13,21,13,21,14,20,14,19,14,18,14,18,15,17,15,16,15,16,16,15,16,14,16,13,16,12,16,11,16,10,16,10,17,9,17,9,18,9,19,8,19,8,20,8,21,7,21,6,21,6,22,5,22,4,22,3,22,3,23,2,23,2,24,1,24,0,24
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,32,8,31,8,30,8,29,8,28,8,27,8,26,8,25,8,24,8,23,8,22,8,22,9,21,9,20,9,19,9,19,10,18,10,18,11,17,11,17,12,16,12,16,13,15,13,14,13,13,13,12,13,11,13,10,13,9,13,9,14,8,14,8,15,7,15,7,16,6,16,6,17,6,18,5,18,5,19,5,20,5,21,4,21,4,22,3,22,3,23,2,23,1,23,1,24,0,24
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,33,9,32,9,31,9,30,9,29,9,28,9,28,10,27,10,26,10,25,10,24,10,23,10,23,11,23,12,22,12,21,12,21,13,21,14,20,14,19,14,19,15,18,15,18,16,18,17,17,17,17,18,17,19,16,19,15,19,14,19,13,19,12,19,11,19,10,19,10,20,9,20,9,21,9,22,8,22,8,23,7,23,6,23,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,32,8,32,9,32,10,31,10,31,11,30,11,30,12,30,13,30,14,29,14,28,14,28,15,27,15,27,16,27,17,27,18,27,19,27,20,27,21,27,22,26,22,25,22,24,22,23,22,22,22,21,22,21,23,21,24,20,24,19,24,18,24,17,24,16,24,15,24,14,24,13,24,12,24,11,24,10,24,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,34,7,33,7,32,7,31,7,30,7,29,7,28,7,27,7,26,7,25,7,24,7,23,7,23,6,22,6,21,6,21,5,20,5,20,6,20,7,20,8,19,8,18,8,18,9,17,9,17,10,17,11,16,11,16,12,15,12,14,12,14,13,13,13,12,13,12,14,12,15,12,16,11,16,10,16,9,16,9,17,8,17,8,18,8,19,7,19,7,20,7,21,7,22,6,22,6,23,5,23,4,23,3,23,3,24,2,24,1,24,0,24
39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,32,8,31,8,30,8,29,8,28,8,27,8,26,8,25,8,25,7,24,7,23,7,22,7,21,7,20,7,19,7,18,7,17,7,16,7,15,7,14,7,13,7,13,6,12,6,11,6,10,6,10,7,10,8,10,9,10,10,10,11,10,12,10,13,10,14,9,14,8,14,8,15,7,15,7,16,7,17,6,17,6,18,5,18,5,19,4,19,4,20,4,21,4,22,4,23,3,23,3,24,2,24,1,24,0,24
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,32,8,31,8,31,9,30,9,30,10,29,10,28,10,27,10,26,10,26,11,25,11,24,11,23,11,23,12,23,13,22,13,22,14,21,14,21,15,20,15,19,15,19,16,18,16,17,16,16,16,16,17,16,18,15,18,14,18,14,19,14,20,13,20,12,20,11,20,10,20,10,21,9,21,9,22,8,22,8,23,7,23,6,23,5,23,4,23,3,23,2,23,1,23,1,24,0,24
39,8,39,8,39,8,39,8,38,8,38,9,37,9,37,10,36,10,35,10,34,10,34,11,34,12,34,13,33,13,33,14,33,15,32,15,31,15,30,15,30,16,29,16,28,16,27,16,27,17,26,17,25,17,25,18,25,19,24,19,24,20,24,21,24,22,24,23,23,23,23,24,23,25,22,25,22,26,22,27,21,27,20,27,20,26,19,26,19,25,18,25,17,25,17,24,16,24,15,24,14,24,13,24,12,24,11,24,10,24,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,35,9,34,9,34,10,34,11,34,12,34,13,34,14,34,15,33,15,33,16,33,17,32,17,32,18,32,19,31,19,31,20,31,21,31,22,30,22,30,23,30,24,30,25,29,25,28,25,27,25,26,25,25,25,25,24,24,24,23,24,22,24,21,24,20,24,19,24,18,24,17,24,16,24,15,24,14,24,13,24,12,24,11,24,10,24,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
