y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69,y_70,x_70,y_71,x_71,y_72,x_72,y_73,x_73,y_74,x_74,y_75,x_75,y_76,x_76,y_77,x_77,y_78,x_78,y_79,x_79,y_80,x_80,y_81,x_81,y_82,x_82,y_83,x_83,y_84,x_84,y_85,x_85,y_86,x_86,y_87,x_87,y_88,x_88,y_89,x_89,y_90,x_90,y_91,x_91,y_92,x_92,y_93,x_93,y_94,x_94,y_95,x_95,y_96,x_96,y_97,x_97,y_98,x_98,y_99,x_99,y_100,x_100,y_101,x_101,y_102,x_102,y_103,x_103,y_104,x_104,y_105,x_105,y_106,x_106,y_107,x_107,y_108,x_108,y_109,x_109,y_110,x_110,y_111,x_111,y_112,x_112,y_113,x_113,y_114,x_114,y_115,x_115,y_116,x_116
39,22,38,22,37,22,36,22,35,22,35,21,34,21,34,20,34,19,34,18,33,18,33,17,33,16,33,15,32,15,32,14,31,14,30,14,30,13,30,12,30,11,29,11,29,10,29,9,28,9,27,9,27,8,27,9,26,9,25,9,24,9,23,9,23,10,23,11,22,11,22,12,21,12,21,13,20,13,20,14,19.0,14.0,19.0,15.0,18.0,15.0,18.0,16.0,18.0,17.0,17.0,17.0,17.0,18.0,16.0,18.0,16.0,19.0,16.0,20.0,16.0,21.0,16.0,22.0,15.0,22.0,14.0,22.0,13.0,22.0,12.0,22.0,12.0,23.0,12.0,24.0,11.0,24.0,10.0,24.0,10.0,25.0,9.0,25.0,8.0,25.0,7.0,25.0,7.0,26.0,6.0,26.0,5.0,26.0,4.0,26.0,3.0,26.0,3.0,27.0,2.0,27.0,1.0,27.0,1.0,28.0,0.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,38,24,37,24,36,24,35,24,34,24,33,24,33,25,32,25,31,25,30,25,29,25,28,25,27,25,27,26,26,26,26,27,26,28,25,28,24,28,24,29,23,29,23,30,22,30,21.0,30.0,21.0,31.0,20.0,31.0,20.0,32.0,19.0,32.0,18.0,32.0,18.0,33.0,18.0,34.0,17.0,34.0,16.0,34.0,16.0,35.0,16.0,36.0,15.0,36.0,15.0,35.0,15.0,34.0,15.0,33.0,15.0,32.0,15.0,31.0,15.0,30.0,15.0,29.0,15.0,28.0,15.0,27.0,15.0,26.0,15.0,25.0,15.0,24.0,15.0,23.0,15.0,22.0,15.0,21.0,15.0,20.0,15.0,19.0,15.0,18.0,15.0,17.0,15.0,16.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0,12.0,11.0,12.0,10.0,11.0,10.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,7.0,8.0,7.0,8.0,6.0,8.0,5.0,7.0,5.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,1.0,4.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,38,28,37,28,36,28,35,28,34,28,33,28,32,28,31,28,30,28,29,28,28,28,27,28,27,29,26,29,25,29,24,29,23,29,22,29,22,30,22,31,22,32,21,32,20,32,20,33,19,33,19,34,18,34,18,33,18.0,32.0,17.0,32.0,17.0,31.0,17.0,30.0,17.0,29.0,16.0,29.0,16.0,28.0,16.0,27.0,16.0,26.0,16.0,25.0,16.0,24.0,15.0,24.0,14.0,24.0,13.0,24.0,12.0,24.0,11.0,24.0,10.0,24.0,9.0,24.0,8.0,24.0,7.0,24.0,6.0,24.0,6.0,23.0,6.0,22.0,6.0,21.0,5.0,21.0,4.0,21.0,4.0,20.0,3.0,20.0,2.0,20.0,1.0,20.0,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,28,39,28,39,28,38,28,37,28,36,28,35,28,34,28,33,28,32,28,31,28,31,27,31,26,31,25,30,25,29,25,28,25,27,25,26,25,26,24,25,24,24,24,24,23,24,22,24,21,24,20,24,19,23,19,22,19,22,18,22,19,21,19,21,20,21,21,20,21,20,22,19,22,19,23,18,23,17,23,16.0,23.0,15.0,23.0,15.0,24.0,14.0,24.0,13.0,24.0,12.0,24.0,11.0,24.0,10.0,24.0,10.0,25.0,9.0,25.0,9.0,26.0,8.0,26.0,7.0,26.0,6.0,26.0,6.0,27.0,5.0,27.0,4.0,27.0,3.0,27.0,2.0,27.0,1.0,27.0,1.0,28.0,0.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,28,39,28,38,28,37,28,36,28,35,28,34,28,33,28,32,28,31,28,30,28,29,28,28,28,27,28,26,28,25,28,24,28,23,28,22,28,21,28,21,29,21,30,20,30,19,30,18,30,17,30,16,30,15,30,15,31,14,31,13,31,12,31,12,32,11,32,10,32,9,32,8,32,7,32,6,32,5,32,4.0,32.0,3.0,32.0,2.0,32.0,1.0,32.0,0.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,38,34,37,34,36,34,35,34,34,34,33,34,32,34,31,34,30,34,30,33,30,32,29,32,28,32,28,31,27,31,27,30,27,29,26,29,26.0,28.0,25.0,28.0,25.0,27.0,25.0,26.0,24.0,26.0,24.0,25.0,23.0,25.0,22.0,25.0,21.0,25.0,20.0,25.0,20.0,24.0,19.0,24.0,18.0,24.0,18.0,23.0,17.0,23.0,16.0,23.0,16.0,22.0,15.0,22.0,15.0,21.0,14.0,21.0,13.0,21.0,12.0,21.0,11.0,21.0,10.0,21.0,9.0,21.0,8.0,21.0,7.0,21.0,6.0,21.0,5.0,21.0,4.0,21.0,3.0,21.0,3.0,20.0,2.0,20.0,1.0,20.0,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,38,34,37,34,36,34,35,34,34,34,33,34,33,35,32,35,31,35,30,35,29,35,28,35,28,36,27,36,27,35,26,35,25,35,24.0,35.0,23.0,35.0,23.0,34.0,22.0,34.0,21.0,34.0,21.0,33.0,20.0,33.0,20.0,32.0,19.0,32.0,18.0,32.0,17.0,32.0,17.0,31.0,16.0,31.0,15.0,31.0,14.0,31.0,13.0,31.0,13.0,30.0,12.0,30.0,11.0,30.0,10.0,30.0,9.0,30.0,9.0,29.0,9.0,28.0,8.0,28.0,7.0,28.0,6.0,28.0,5.0,28.0,4.0,28.0,3.0,28.0,2.0,28.0,1.0,28.0,0.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,38,34,37,34,36,34,35,34,34,34,33,34,32,34,31,34,30,34,29,34,28,34,27,34,26,34,25,34,24,34,23,34,22,34,21,34,20,34,19,34,18,34,17.0,34.0,17.0,33.0,16.0,33.0,16.0,32.0,15.0,32.0,14.0,32.0,13.0,32.0,12.0,32.0,11.0,32.0,10.0,32.0,9.0,32.0,8.0,32.0,7.0,32.0,6.0,32.0,5.0,32.0,4.0,32.0,3.0,32.0,2.0,32.0,1.0,32.0,0.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,33,36,32,36,31,36,30,36,29,36,28,36,27,36,26,36,25,36,24,36,23,36,22,36,22,37,21,37,20,37,19,37,18,37,17,37,16,37,15,37,15.0,38.0,14.0,38.0,13.0,38.0,13.0,37.0,13.0,36.0,13.0,35.0,13.0,34.0,13.0,33.0,12.0,33.0,11.0,33.0,11.0,32.0,11.0,31.0,11.0,30.0,11.0,29.0,11.0,28.0,11.0,27.0,11.0,26.0,10.0,26.0,9.0,26.0,8.0,26.0,7.0,26.0,7.0,25.0,7.0,24.0,7.0,23.0,6.0,23.0,6.0,22.0,6.0,21.0,6.0,20.0,6.0,19.0,6.0,18.0,5.0,18.0,5.0,17.0,5.0,16.0,5.0,15.0,4.0,15.0,4.0,14.0,4.0,13.0,3.0,13.0,3.0,12.0,3.0,11.0,2.0,11.0,2.0,10.0,2.0,9.0,2.0,8.0,1.0,8.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,36,39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,33,36,33,35,32,35,31,35,30,35,29,35,28,35,27,35,26,35,25,35,24,35,23,35,22,35,22,34,21,34,20,34,19,34,19,33,18,33,18,32,18,31,17,31,16,31,15,31,14,31,13,31,13,32,12,32,11,32,10,32,9,32,8.0,32.0,7.0,32.0,6.0,32.0,5.0,32.0,4.0,32.0,3.0,32.0,2.0,32.0,1.0,32.0,0.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,31,0,30,0,29,0,28,0,27,0,26,0,25,0,24,0,23,0,22,0,21,0,20,0,19,0,18,0,17,0,16,0,15,0,14,0,13,0,12,0,11,0,10,0,9,0,8,0,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36.0,0.0,35.0,0.0,34.0,0.0,33.0,0.0,32.0,0.0,31.0,0.0,30.0,0.0,29.0,0.0,28.0,0.0,27.0,0.0,26.0,0.0,25.0,0.0,24.0,0.0,23.0,0.0,22.0,0.0,21.0,0.0,20.0,0.0,19.0,0.0,18.0,0.0,17.0,0.0,16.0,0.0,15.0,0.0,14.0,0.0,14.0,1.0,14.0,2.0,14.0,3.0,14.0,4.0,14.0,5.0,14.0,6.0,14.0,7.0,14.0,8.0,14.0,9.0,14.0,10.0,13.0,10.0,13.0,11.0,12.0,11.0,12.0,12.0,11.0,12.0,11.0,13.0,11.0,14.0,10.0,14.0,10.0,15.0,9.0,15.0,8.0,15.0,7.0,15.0,6.0,15.0,6.0,16.0,6.0,17.0,6.0,18.0,6.0,19.0,6.0,20.0,6.0,21.0,5.0,21.0,4.0,21.0,4.0,22.0,4.0,23.0,3.0,23.0,3.0,24.0,2.0,24.0,1.0,24.0,0.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,29,2,28,2,27,2,26,2,26,3,25,3,24,3,24,4,23,4,22,4,21,4,20,4,19,4,18,4,17,4,16,4,16.0,5.0,15.0,5.0,14.0,5.0,14.0,6.0,13.0,6.0,13.0,7.0,13.0,8.0,12.0,8.0,11.0,8.0,10.0,8.0,9.0,8.0,9.0,7.0,9.0,6.0,9.0,5.0,9.0,4.0,9.0,3.0,9.0,2.0,8.0,2.0,7.0,2.0,6.0,2.0,6.0,1.0,5.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,38,2,37,2,37,3,36,3,35,3,35,4,35,5,35,6,35,7,35,8,35,9,34,9,33,9,33,10,33,11,33,12,33,13,33,14,33.0,15.0,33.0,16.0,32.0,16.0,31.0,16.0,31.0,17.0,31.0,18.0,31.0,19.0,30.0,19.0,29.0,19.0,28.0,19.0,27.0,19.0,26.0,19.0,25.0,19.0,24.0,19.0,23.0,19.0,22.0,19.0,21.0,19.0,20.0,19.0,19.0,19.0,18.0,19.0,17.0,19.0,16.0,19.0,15.0,19.0,14.0,19.0,13.0,19.0,12.0,19.0,11.0,19.0,10.0,19.0,9.0,19.0,8.0,19.0,7.0,19.0,6.0,19.0,5.0,19.0,4.0,19.0,4.0,20.0,3.0,20.0,2.0,20.0,1.0,20.0,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,34,3,33,3,33,4,32,4,31,4,31,5,31,6,31,7,31,8,30,8,30,9,30,10,30,11,29,11,28,11,28,12,27,12,26,12,26,13,26,14,25,14,24,14,23,14,23,15,23,16,23,17,23,18,22.0,18.0,22.0,19.0,21.0,19.0,21.0,20.0,20.0,20.0,20.0,21.0,20.0,22.0,20.0,23.0,19.0,23.0,18.0,23.0,17.0,23.0,16.0,23.0,16.0,24.0,16.0,25.0,16.0,26.0,16.0,27.0,15.0,27.0,14.0,27.0,13.0,27.0,12.0,27.0,11.0,27.0,10.0,27.0,10.0,26.0,10.0,25.0,10.0,24.0,9.0,24.0,8.0,24.0,7.0,24.0,6.0,24.0,5.0,24.0,4.0,24.0,3.0,24.0,2.0,24.0,1.0,24.0,0.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,37,5,36,5,36,6,35,6,35,7,35,8,34,8,34,9,33,9,32,9,32,10,32,11,32,12,31,12,30,12,30,13,30,14,30,15,29,15,28,15,28,16,28,17,27,17,27.0,18.0,26.0,18.0,26.0,19.0,26.0,20.0,26.0,21.0,26.0,22.0,26.0,23.0,26.0,24.0,26.0,25.0,26.0,26.0,26.0,27.0,25.0,27.0,24.0,27.0,23.0,27.0,22.0,27.0,22.0,26.0,21.0,26.0,20.0,26.0,20.0,25.0,19.0,25.0,19.0,24.0,18.0,24.0,18.0,23.0,17.0,23.0,16.0,23.0,15.0,23.0,14.0,23.0,14.0,22.0,13.0,22.0,12.0,22.0,11.0,22.0,10.0,22.0,9.0,22.0,8.0,22.0,7.0,22.0,7.0,21.0,7.0,20.0,6.0,20.0,5.0,20.0,4.0,20.0,3.0,20.0,2.0,20.0,1.0,20.0,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,30,6,29,6,28,6,27,6,27,5,27,4,26,4,25,4,24,4,23.0,4.0,22.0,4.0,21.0,4.0,21.0,3.0,20.0,3.0,19.0,3.0,18.0,3.0,17.0,3.0,16.0,3.0,15.0,3.0,14.0,3.0,13.0,3.0,12.0,3.0,11.0,3.0,10.0,3.0,10.0,2.0,9.0,2.0,8.0,2.0,7.0,2.0,6.0,2.0,6.0,1.0,5.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,30,6,29,6,28,6,27,6,26,6,25,6,25,5,24,5,23,5,22,5,21,5,21,4,20,4,19,4,18,4,18,3,17,3,16,3,15.0,3.0,14.0,3.0,13.0,3.0,13.0,2.0,13.0,1.0,12.0,1.0,11.0,1.0,10.0,1.0,10.0,0.0,9.0,0.0,8.0,0.0,7.0,0.0,6.0,0.0,5.0,0.0,4.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,34,5,33,5,32,5,31,5,30,5,29,5,28,5,27,5,26,5,25,5,24,5,23,5,23,4,22,4,21,4,21,3,20,3,19,3,18,3,17,3,16,3,15,3,14,3,13,3,13,2,12,2,12,1,11.0,1.0,11.0,2.0,10.0,2.0,10.0,3.0,10.0,4.0,10.0,5.0,10.0,6.0,9.0,6.0,9.0,7.0,9.0,8.0,8.0,8.0,7.0,8.0,7.0,9.0,6.0,9.0,6.0,10.0,5.0,10.0,4.0,10.0,3.0,10.0,3.0,11.0,2.0,11.0,2.0,12.0,1.0,12.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,30,6,29,6,28,6,27,6,27,5,26,5,25,5,24,5,23,5,22,5,21,5,20,5,19,5,19,6,18,6,17.0,6.0,16.0,6.0,15.0,6.0,15.0,7.0,15.0,8.0,15.0,9.0,15.0,10.0,15.0,11.0,14.0,11.0,13.0,11.0,13.0,12.0,12.0,12.0,11.0,12.0,10.0,12.0,10.0,13.0,9.0,13.0,8.0,13.0,7.0,13.0,6.0,13.0,6.0,14.0,6.0,15.0,6.0,16.0,5.0,16.0,4.0,16.0,3.0,16.0,2.0,16.0,1.0,16.0,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,37,9,37,10,36,10,35,10,34,10,34,11,33,11,32,11,32,12,32,13,31,13,30,13,29,13,28,13,27,13,26,13,25,13,25,14,24,14,24,15,23,15,23.0,16.0,23.0,17.0,23.0,18.0,22.0,18.0,22.0,19.0,22.0,20.0,22.0,21.0,22.0,22.0,21.0,22.0,21.0,23.0,21.0,24.0,21.0,25.0,20.0,25.0,19.0,25.0,18.0,25.0,18.0,26.0,18.0,27.0,17.0,27.0,17.0,28.0,16.0,28.0,15.0,28.0,14.0,28.0,13.0,28.0,12.0,28.0,11.0,28.0,10.0,28.0,9.0,28.0,8.0,28.0,7.0,28.0,6.0,28.0,5.0,28.0,4.0,28.0,3.0,28.0,2.0,28.0,1.0,28.0,0.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,33,9,32,9,31,9,30,9,30,8,29,8,28,8,27,8,26,8,25,8,25,9,24,9,23,9,23,10,22,10,22,11,22,12,22,13,22,14,22,15,21,15,20,15,20,16,19.0,16.0,18.0,16.0,18.0,17.0,18.0,18.0,18.0,19.0,17.0,19.0,16.0,19.0,15.0,19.0,14.0,19.0,14.0,20.0,14.0,21.0,13.0,21.0,13.0,22.0,12.0,22.0,11.0,22.0,10.0,22.0,10.0,23.0,9.0,23.0,9.0,24.0,9.0,25.0,8.0,25.0,7.0,25.0,7.0,26.0,7.0,27.0,7.0,28.0,6.0,28.0,6.0,29.0,6.0,30.0,5.0,30.0,5.0,31.0,5.0,32.0,4.0,32.0,3.0,32.0,2.0,32.0,1.0,32.0,0.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,12,39,12,39,12,38,12,37,12,36,12,36,13,35,13,34,13,34,14,33,14,33,15,33,16,33,17,32,17,32,18,31,18,31,19,30,19,30,20,29,20,29,21,28,21,28,22,28,23,28,24,27,24,27,25,27,26,27,27,26,27,26,28,25,28,25,29,25,30,25,31,25,32,25,33,25,34,25,35,25.0,36.0,25.0,37.0,25.0,38.0,24.0,38.0,24.0,37.0,23.0,37.0,22.0,37.0,21.0,37.0,21.0,36.0,20.0,36.0,19.0,36.0,18.0,36.0,17.0,36.0,16.0,36.0,16.0,35.0,15.0,35.0,14.0,35.0,13.0,35.0,12.0,35.0,11.0,35.0,10.0,35.0,10.0,34.0,10.0,33.0,9.0,33.0,8.0,33.0,7.0,33.0,7.0,32.0,6.0,32.0,5.0,32.0,4.0,32.0,3.0,32.0,2.0,32.0,1.0,32.0,0.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,16,39,16,39,16,39,16,39,16,39,16,39,16,38,16,37,16,36,16,36,15,35,15,34,15,33,15,32,15,31,15,31,14,30,14,29,14,28,14,28,13,27,13,27,12,27,11,27,10,27,9,26,9,25,9,24,9,24,8,24,7,24,6,24,5,24,4,24,3,23,3,22,3,21,3,20,3,20,2,19.0,2.0,19.0,1.0,18.0,1.0,17.0,1.0,16.0,1.0,15.0,1.0,14.0,1.0,13.0,1.0,12.0,1.0,11.0,1.0,10.0,1.0,9.0,1.0,8.0,1.0,8.0,0.0,7.0,0.0,6.0,0.0,5.0,0.0,4.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,33,19,32.0,19.0,31.0,19.0,31.0,20.0,30.0,20.0,29.0,20.0,28.0,20.0,28.0,19.0,27.0,19.0,27.0,18.0,27.0,17.0,27.0,16.0,26.0,16.0,26.0,15.0,25.0,15.0,24.0,15.0,23.0,15.0,22.0,15.0,22.0,14.0,22.0,13.0,21.0,13.0,20.0,13.0,20.0,12.0,19.0,12.0,18.0,12.0,17.0,12.0,16.0,12.0,15.0,12.0,14.0,12.0,14.0,11.0,13.0,11.0,13.0,10.0,13.0,9.0,12.0,9.0,11.0,9.0,10.0,9.0,10.0,8.0,10.0,7.0,9.0,7.0,8.0,7.0,7.0,7.0,6.0,7.0,6.0,6.0,5.0,6.0,4.0,6.0,3.0,6.0,2.0,6.0,2.0,5.0,2.0,4.0,1.0,4.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,18,38,18,37,18,36,18,35,18,35,19,34,19,34,20,33,20,32,20,32,21,32,22,32,23,32,24,31,24,30,24,29,24,29,25,28,25,27,25,27,26,26,26,25,26,24,26,23,26,22,26,22,27,21,27,20,27,20,28,19,28,19,27,19,26,18,26,18,25,18,24,18,23,17,23,17,22,17,21,17.0,20.0,17.0,19.0,16.0,19.0,16.0,18.0,16.0,17.0,15.0,17.0,15.0,16.0,15.0,15.0,15.0,14.0,15.0,13.0,14.0,13.0,14.0,12.0,13.0,12.0,13.0,11.0,13.0,10.0,13.0,9.0,12.0,9.0,12.0,8.0,11.0,8.0,10.0,8.0,9.0,8.0,9.0,7.0,8.0,7.0,7.0,7.0,6.0,7.0,6.0,6.0,6.0,5.0,6.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,1.0,4.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
