y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11
9,4,8,4,7,4,6,4,5,4,4,4,4,5,4,6,3,6,2,6,1,6,0,6
9,4,8,4,7,4,7,5,6,5,5,5,4,5,3,5,3,6,2,6,1,6,0,6
9,4,8,4,7,4,6,4,5,4,4,4,3,4,3,5,2,5,2,6,1,6,0,6
9,4,8,4,7,4,6,4,5,4,4,4,4,5,3,5,3,6,2,6,1,6,0,6
9,4,8,4,8,5,7,5,6,5,5,5,5,6,4,6,3,6,2,6,1,6,0,6
9,4,8,4,7,4,6,4,6,5,5,5,4,5,4,6,3,6,2,6,1,6,0,6
9,4,8,4,7,4,7,5,7,6,6,6,5,6,4,6,3,6,2,6,1,6,0,6
9,4,8,4,7,4,6,4,5,4,4,4,3,4,2,4,1,4,1,5,1,6,0,6
9,4,8,4,7,4,7,5,6,5,5,5,4,5,3,5,2,5,2,6,1,6,0,6
9,4,8,4,7,4,6,4,5,4,4,4,3,4,3,5,3,6,2,6,1,6,0,6
9,4,8,4,7,4,6,4,5,4,4,4,3,4,2,4,2,5,1,5,1,6,0,6
9,4,8,4,7,4,6,4,5,4,5,5,4,5,3,5,3,6,2,6,1,6,0,6
9,4,8,4,7,4,6,4,5,4,5,5,4,5,3,5,2,5,2,6,1,6,0,6
9,4,8,4,7,4,6,4,6,5,6,6,5,6,4,6,3,6,2,6,1,6,0,6
9,4,8,4,8,5,8,6,7,6,6,6,5,6,4,6,3,6,2,6,1,6,0,6
9,4,8,4,8,5,7,5,7,6,6,6,5,6,4,6,3,6,2,6,1,6,0,6
9,4,8,4,7,4,7,5,6,5,5,5,4,5,4,6,3,6,2,6,1,6,0,6
9,4,8,4,8,5,7,5,6,5,6,6,5,6,4,6,3,6,2,6,1,6,0,6
9,4,8,4,7,4,7,5,6,5,5,5,4,5,3,5,2,5,1,5,1,6,0,6
9,4,8,4,8,5,7,5,6,5,5,5,4,5,3,5,3,6,2,6,1,6,0,6
9,4,8,4,7,4,7,5,6,5,6,6,5,6,4,6,3,6,2,6,1,6,0,6
9,4,8,4,7,4,6,4,5,4,5,5,4,5,3,5,2,5,1,5,1,6,0,6
9,4,8,4,7,4,6,4,5,4,4,4,3,4,3,5,2,5,1,5,1,6,0,6
9,4,8,4,8,5,7,5,6,5,5,5,4,5,3,5,2,5,1,5,1,6,0,6
9,4,8,4,7,4,6,4,6,5,5,5,4,5,3,5,2,5,1,5,1,6,0,6
9,4,8,4,7,4,6,4,5,4,4,4,4,5,3,5,2,5,1,5,1,6,0,6
9,4,8,4,7,4,6,4,6,5,5,5,5,6,4,6,3,6,2,6,1,6,0,6
9,4,8,4,7,4,6,4,5,4,5,5,5,6,4,6,3,6,2,6,1,6,0,6
9,4,8,4,7,4,6,4,6,5,5,5,4,5,3,5,3,6,2,6,1,6,0,6
9,4,8,4,7,4,6,4,5,4,4,4,4,5,3,5,2,5,2,6,1,6,0,6
9,4,8,4,7,4,6,4,5,4,5,5,4,5,4,6,3,6,2,6,1,6,0,6
9,4,8,4,7,4,6,4,5,4,4,4,3,4,2,4,2,5,2,6,1,6,0,6
9,4,8,4,8,5,7,5,6,5,5,5,4,5,4,6,3,6,2,6,1,6,0,6
9,4,8,4,7,4,7,5,6,5,5,5,5,6,4,6,3,6,2,6,1,6,0,6
9,4,8,4,7,4,6,4,6,5,5,5,4,5,3,5,2,5,2,6,1,6,0,6
9,4,8,4,8,5,7,5,6,5,5,5,4,5,3,5,2,5,2,6,1,6,0,6
