y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51
39,20,38,20,37,20,36,20,35,20,34,20,33,20,32,20,31,20,30,20,29,20,28,20,27,20,26,20,25,20,24,20,23,20,22,20,21,20,20,20,19,20,18,20,17,20,16,20,15,20,15,19,15,18,14,18,13,18,12,18,11,18,11,17,10,17,10,16,10,15,9,15,9,14,9,13,9,12,9,11,9,10,8,10,7,10,6,10,6,9,5,9,5,8,4,8,3,8,2,8,1,8,0,8
39,20,38,20,37,20,37,19,36,19,35,19,35,18,34,18,33,18,33,17,32,17,32,16,31,16,31,15,30,15,29,15,28,15,27,15,27,14,26,14,25,14,24,14,23,14,22,14,22,13,21,13,20,13,19,13,19,12,18,12,17,12,16,12,15,12,14,12,13,12,12,12,11,12,10,12,9,12,9,11,8,11,8,10,7,10,7,9,6,9,5,9,4,9,3,9,2,9,2,8,1,8,0,8
39,20,38,20,37,20,36,20,35,20,34,20,33,20,32,20,31,20,30,20,29,20,29,19,28,19,27,19,26,19,26,18,26,17,25,17,25,16,24,16,23,16,23,15,22,15,21,15,20,15,19,15,18,15,18,14,17,14,17,13,16,13,15,13,14,13,13,13,13,12,12,12,11,12,11,11,10,11,10,10,9,10,9,9,8,9,7,9,6,9,5,9,4,9,3,9,2,9,2,8,1,8,0,8
39,20,38,20,37,20,36,20,35,20,34,20,33,20,32,20,31,20,30,20,29,20,28,20,27,20,26,20,26,19,25,19,24,19,23,19,22,19,22,18,21,18,20,18,20,17,20,16,19,16,19,15,18,15,17,15,16,15,15,15,15,14,15,13,15,12,14,12,13,12,13,11,12,11,11,11,10,11,10,10,9,10,8,10,7,10,7,9,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,20,38,20,37,20,36,20,35,20,34,20,33,20,32,20,32,19,32,18,32,17,31,17,31,16,31,15,30,15,29,15,28,15,27,15,27,14,27,13,26,13,25,13,25,12,24,12,24,11,23,11,22,11,22,10,21,10,21,9,20,9,19,9,19,8,18,8,17,8,16,8,15,8,14,8,13,8,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,20,38,20,37,20,36,20,36,19,36,18,35,18,34,18,34,17,33,17,33,16,32,16,31,16,31,15,31,14,30,14,29,14,28,14,27,14,27,13,26,13,25,13,24,13,23,13,23,12,23,11,23,10,22,10,21,10,20,10,20,9,19,9,18,9,17,9,16,9,15,9,15,8,14,8,13,8,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,20,38,20,38,19,37,19,36,19,36,18,35,18,34,18,33,18,32,18,31,18,31,17,31,16,30,16,29,16,29,15,28,15,28,14,28,13,27,13,26,13,26,12,25,12,24,12,23,12,22,12,21,12,20,12,20,11,19,11,18,11,17,11,16,11,15,11,14,11,13,11,13,10,12,10,11,10,11,9,10,9,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,20,38,20,37,20,36,20,35,20,34,20,33,20,32,20,31,20,30,20,29,20,29,19,28,19,27,19,26,19,25,19,25,18,24,18,24,17,23,17,22,17,21,17,20,17,19,17,18,17,17,17,16,17,16,16,15,16,15,15,15,14,14,14,13,14,13,13,13,12,12,12,12,11,11,11,10,11,10,10,9,10,8,10,7,10,6,10,5,10,4,10,3,10,3,9,3,8,2,8,1,8,0,8
39,20,38,20,37,20,36,20,35,20,34,20,33,20,32,20,31,20,30,20,29,20,28,20,27,20,26,20,25,20,25,19,24,19,23,19,23,18,22,18,21,18,20,18,20,17,20,16,20,15,19,15,18,15,17,15,16,15,16,14,16,13,15,13,14,13,14,12,13,12,13,11,12,11,11,11,10,11,9,11,9,10,8,10,7,10,7,9,6,9,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,20,38,20,37,20,36,20,35,20,34,20,33,20,32,20,31,20,30,20,29,20,28,20,27,20,27,19,26,19,25,19,25,18,24,18,23,18,23,17,22,17,22,16,21,16,21,15,21,14,20,14,20,13,19,13,18,13,17,13,16,13,16,12,15,12,14,12,13,12,13,11,12,11,11,11,11,10,11,9,10,9,9,9,8,9,7,9,6,9,6,8,5,8,4,8,3,8,2,8,1,8,0,8
