y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54
39,6,39,6,38,6,37,6,36,6,36,7,35,7,34,7,33,7,33,8,32,8,31,8,31,9,30,9,29,9,28,9,27,9,26,9,26,10,25,10,25,11,24,11,23,11,23,12,23,13,23,14,22,14,21,14,20,14,19,14,18,14,17,14,16,14,15,14,14,14,14,13,13,13,13,12,12,12,11,12,11,11,10,11,10,10,10,9,9,9,8,9,7,9,6,9,5,9,4,9,4,8,3,8,2,8,1,8,0,8
39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,30,6,29,6,28,6,27,6,26,6,25,6,25,7,25,8,24,8,23,8,22,8,21,8,20,8,19,8,19,9,19,10,19,11,19,12,18,12,17,12,16,12,16,11,15,11,15,10,14,10,14,9,13,9,12,9,11,9,10,9,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,34,5,33,5,32,5,31,5,30,5,29,5,28,5,27,5,26,5,25,5,24,5,23,5,22,5,21,5,20,5,20,6,19,6,19,7,18,7,17,7,16,7,15,7,14,7,13,7,12,7,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,30,6,29,6,28,6,27,6,26,6,25,6,24,6,23,6,22,6,21,6,20,6,20,7,19,7,18,7,18,8,17,8,16,8,15,8,14,8,13,8,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,34,7,33,7,32,7,31,7,30,7,29,7,28,7,28,8,27,8,26,8,26,9,25,9,24,9,23,9,22,9,22,10,21,10,20,10,19,10,18,10,17,10,16,10,15,10,14,10,14,11,13,11,12,11,12,12,11,12,10,12,10,11,9,11,9,10,8,10,7,10,7,9,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,30,6,29,6,28,6,27,6,26,6,25,6,25,5,24,5,23,5,22,5,21,5,20,5,19,5,18,5,17,5,16,5,15,5,14,5,13,5,12,5,12,6,12,7,11,7,10,7,9,7,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,34,7,34,8,33,8,32,8,31,8,30,8,29,8,28,8,27,8,26,8,25,8,24,8,23,8,22,8,21,8,21,9,20,9,19,9,18,9,17,9,16,9,15,9,14,9,14,10,13,10,12,10,12,11,11,11,10,11,9,11,8,11,7,11,6,11,6,10,5,10,5,9,4,9,4,8,3,8,2,8,1,8,0,8
39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,30,6,29,6,28,6,28,7,27,7,26,7,25,7,25,8,25,9,25,10,24,10,23,10,22,10,21,10,20,10,20,11,19,11,18,11,18,12,18,13,17,13,17,14,16,14,15,14,14,14,13,14,13,13,12,13,11,13,11,12,10,12,10,11,10,10,9,10,8,10,7,10,7,9,6,9,5,9,4,9,4,8,3,8,2,8,1,8,0,8
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,34,7,34,8,34,9,33,9,32,9,31,9,31,8,30,8,29,8,28,8,27,8,26,8,25,8,24,8,23,8,22,8,21,8,20,8,19,8,18,8,17,8,16,8,15,8,14,8,13,8,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,30,6,29,6,28,6,28,7,28,8,27,8,26,8,25,8,24,8,23,8,22,8,21,8,20,8,19,8,18,8,17,8,17,9,17,10,16,10,15,10,14,10,13,10,12,10,11,10,11,11,11,10,10,10,9,10,8,10,7,10,6,10,6,9,5,9,4,9,4,8,3,8,2,8,1,8,0,8
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,30,6,29,6,28,6,27,6,26,6,25,6,25,7,24,7,24,8,23,8,22,8,21,8,20,8,19,8,18,8,17,8,16,8,15,8,14,8,13,8,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,30,6,29,6,28,6,27,6,26,6,25,6,25,5,24,5,23,5,22,5,21,5,20,5,19,5,18,5,17,5,16,5,15,5,14,5,13,5,12,5,11,5,10,5,9,5,8,5,8,6,8,7,7,7,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,32,7,31,7,30,7,30,8,29,8,29,9,28,9,27,9,26,9,25,9,25,10,25,11,25,12,24,12,23,12,22,12,21,12,20,12,19,12,18,12,18,11,17,11,16,11,15,11,15,10,14,10,13,10,12,10,11,10,10,10,9,10,8,10,7,10,6,10,5,10,5,9,5,8,4,8,3,8,2,8,1,8,0,8
39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,32,7,31,7,31,8,31,9,30,9,30,10,30,11,29,11,28,11,27,11,27,12,26,12,25,12,24,12,24,13,24,14,23,14,22,14,21,14,20,14,20,13,20,12,19,12,19,11,18,11,17,11,16,11,15,11,15,10,14,10,14,9,14,8,13,8,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,30,6,29,6,28,6,27,6,26,6,25,6,24,6,24,7,23,7,22,7,21,7,20,7,19,7,18,7,17,7,16,7,15,7,14,7,13,7,12,7,11,7,10,7,9,7,8,7,7,7,6,7,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,30,6,29,6,28,6,27,6,27,7,26,7,25,7,24,7,23,7,22,7,21,7,20,7,19,7,18,7,17,7,16,7,15,7,14,7,13,7,12,7,11,7,11,8,11,9,10,9,9,9,8,9,7,9,6,9,5,9,5,8,4,8,3,8,2,8,1,8,0,8
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,30,6,30,7,29,7,28,7,27,7,26,7,25,7,25,8,24,8,23,8,22,8,21,8,21,9,21,10,21,11,20,11,19,11,18,11,18,10,18,9,18,8,17,8,16,8,15,8,14,8,13,8,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,33,7,32,7,31,7,30,7,29,7,28,7,27,7,26,7,25,7,25,8,24,8,23,8,22,8,21,8,20,8,19,8,19,9,18,9,17,9,16,9,15,9,14,9,14,10,13,10,12,10,11,10,10,10,9,10,8,10,8,9,7,9,6,9,5,9,4,9,3,9,3,8,2,8,1,8,0,8
39,6,39,6,39,6,39,6,39,6,39,6,38,6,38,5,37,5,36,5,35,5,34,5,33,5,32,5,31,5,30,5,29,5,28,5,27,5,26,5,25,5,24,5,23,5,22,5,21,5,20,5,19,5,18,5,17,5,16,5,15,5,15,4,15,3,14,3,14,2,13,2,12,2,11,2,10,2,10,3,9,3,9,4,9,5,8,5,8,6,7,6,7,7,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,30,6,29,6,28,6,27,6,26,6,25,6,25,5,24,5,23,5,23,4,22,4,21,4,20,4,19,4,18,4,18,3,17,3,16,3,15,3,15,4,15,5,14,5,13,5,12,5,12,6,11,6,10,6,10,7,9,7,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,6,39,6,38,6,37,6,36,6,35,6,34,6,34,5,33,5,32,5,32,4,32,3,31,3,30,3,30,2,30,1,29,1,28,1,27,1,26,1,25,1,24,1,24,0,23,0,22,0,21,0,20,0,20,1,19,1,19,2,19,3,19,4,18,4,18,5,17,5,16,5,15,5,14,5,14,6,13,6,13,7,12,7,11,7,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,37,7,36,7,35,7,34,7,34,8,33,8,32,8,31,8,30,8,29,8,28,8,27,8,26,8,25,8,24,8,23,8,22,8,21,8,20,8,19,8,18,8,17,8,16,8,15,8,14,8,13,8,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,30,6,29,6,28,6,27,6,26,6,25,6,24,6,23,6,22,6,22,5,21,5,20,5,19,5,19,6,18,6,18,7,17,7,16,7,16,8,15,8,14,8,13,8,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,30,6,29,6,28,6,27,6,26,6,25,6,24,6,24,5,23,5,22,5,21,5,20,5,19,5,18,5,17,5,16,5,15,5,15,6,15,7,15,8,14,8,13,8,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,30,6,29,6,28,6,28,7,27,7,26,7,25,7,24,7,23,7,23,8,22,8,21,8,20,8,20,9,19,9,18,9,18,10,17,10,16,10,16,11,16,12,16,13,15,13,15,14,14,14,13,14,12,14,12,13,11,13,11,12,10,12,9,12,9,11,9,10,9,9,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,35,7,34,7,33,7,33,8,32,8,31,8,30,8,29,8,28,8,27,8,26,8,26,9,25,9,24,9,23,9,22,9,22,10,22,11,21,11,20,11,20,12,20,13,19,13,18,13,17,13,17,12,17,11,16,11,15,11,14,11,13,11,12,11,11,11,11,10,10,10,9,10,9,9,8,9,7,9,6,9,6,8,5,8,4,8,3,8,2,8,1,8,0,8
