y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69,y_70,x_70,y_71,x_71,y_72,x_72,y_73,x_73,y_74,x_74,y_75,x_75,y_76,x_76,y_77,x_77,y_78,x_78
39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,38,22,38,23,37,23,36,23,35,23,35,24,35,25,34,25,34,26,34,27,34,28,33,28,32,28,32,29,32,30,32,31,31,31,30,31,30,32,30,33,29,33,28,33,27,33,26,33,26,32,25,32,24,32,23,32,22,32,21,32,20,32,19,32,18,32,17,32,16,32,15,32,14,32,13,32,12,32,11,32,10,32,9,32,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,38,22,37,22,36,22,35,22,34,22,33,22,32,22,31,22,30,22,30,23,29,23,29,24,28,24,27,24,27,25,27,26,26,26,26,27,25,27,24,27,23,27,22,27,22,28,22,29,21,29,21,30,21,31,21,32,20,32,20,33,20,34,20,35,20,36,20,37,19,37,19,36,18,36,17,36,17,35,17,34,16,34,15,34,14,34,14,33,13,33,12,33,11,33,10,33,9,33,8,33,7,33,6,33,5,33,5,32,4,32,3,32,2,32,1,32,0,32
39,22,39,22,39,22,39,22,38,22,37,22,36,22,35,22,34,22,33,22,32,22,31,22,30,22,30,21,29,21,29,20,28,20,27,20,26,20,26,19,25,19,24,19,23,19,23,18,23,17,23,16,22,16,21,16,21,15,21,14,20,14,20,13,19,13,19,12,19,11,19,10,19,9,19,10,19,11,18,11,17,11,16,11,15,11,14,11,14,12,14,13,14,14,14,15,13,15,13,16,13,17,13,18,13,19,13,20,12,20,11,20,11,21,11,22,11,23,11,24,11,25,11,26,11,27,10,27,10,28,9,28,9,29,9,30,8,30,8,31,7,31,6,31,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,38,22,37,22,36,22,35,22,34,22,33,22,33,21,32,21,31,21,30,21,30,20,30,19,29,19,28,19,27,19,26,19,26,18,25,18,25,17,24,17,23,17,23,16,23,15,22,15,21,15,20,15,20,16,19,16,18,16,18,17,18,18,18,19,18,20,18,21,18,22,18,23,17,23,16,23,16,24,16,25,15,25,14,25,14,26,13,26,13,27,12,27,12,28,11,28,10,28,9,28,9,29,9,30,8,30,7,30,7,31,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,38,22,37,22,36,22,35,22,34,22,33,22,33,21,32,21,31,21,30,21,29,21,28,21,28,20,27,20,27,19,27,18,27,17,26,17,26,16,25,16,24,16,23,16,23,15,22,15,22,14,22,13,22,12,21,12,20,12,20,11,20,12,19,12,18,12,17,12,17,13,17,14,17,15,17,16,17,17,17,18,17,19,17,20,16,20,16,21,15,21,14,21,14,22,13,22,13,23,12,23,11,23,11,24,11,25,11,26,10,26,9,26,9,27,9,28,8,28,7,28,7,29,6,29,5,29,4,29,4,30,4,31,3,31,2,31,2,32,1,32,0,32
39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,38,22,37,22,36,22,35,22,34,22,33,22,32,22,31,22,30,22,29,22,29,23,28,23,27,23,27,24,26,24,26,25,25,25,24,25,23,25,22,25,22,26,21,26,20,26,20,27,19,27,18,27,18,28,18,29,17,29,16,29,15,29,15,30,14,30,13,30,12,30,11,30,10,30,9,30,8,30,7,30,7,31,6,31,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,38,22,37,22,36,22,35,22,34,22,33,22,33,23,32,23,32,24,31,24,30,24,29,24,29,25,28,25,27,25,26,25,25,25,24,25,23,25,23,26,22,26,22,27,21,27,20,27,19,27,18,27,17,27,17,28,16,28,15,28,14,28,13,28,13,29,13,30,13,31,13,32,12,32,11,32,10,32,9,32,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,38,22,37,22,36,22,35,22,34,22,33,22,32,22,31,22,30,22,30,21,29,21,28,21,27,21,26,21,26,20,26,19,26,18,25,18,25,17,24,17,23,17,22,17,21,17,20,17,20,16,19,16,19,17,18,17,18,18,18,19,18,20,18,21,18,22,18,23,18,24,17,24,16,24,15,24,14,24,14,25,13,25,13,26,12,26,12,27,11,27,10,27,9,27,9,28,8,28,7,28,7,29,6,29,6,30,5,30,5,31,4,31,4,32,3,32,2,32,1,32,0,32
39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,38,22,37,22,36,22,35,22,34,22,33,22,33,23,32,23,31,23,30,23,30,24,29,24,28,24,27,24,26,24,25,24,24,24,23,24,22,24,21,24,20,24,20,25,20,26,19,26,19,27,18,27,17,27,16,27,16,28,16,29,15,29,14,29,13,29,13,30,12,30,12,31,11,31,11,32,10,32,9,32,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,38,22,38,23,37,23,36,23,35,23,34,23,33,23,33,24,32,24,31,24,30,24,29,24,28,24,28,25,27,25,26,25,25,25,24,25,24,26,23,26,22,26,22,27,22,28,21,28,21,29,20,29,19,29,18,29,18,30,17,30,17,31,16,31,15,31,14,31,13,31,12,31,11,31,10,31,9,31,8,31,7,31,6,31,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,38,22,37,22,36,22,35,22,34,22,33,22,32,22,31,22,30,22,29,22,28,22,27,22,26,22,26,23,25,23,24,23,23,23,23,24,23,25,22,25,21,25,20,25,19,25,19,26,18,26,17,26,16,26,16,27,15,27,14,27,13,27,13,28,12,28,11,28,10,28,10,29,9,29,8,29,7,29,7,30,7,31,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
