deviation_factor,midpoint
1.0,"(9, 12)"
1.0,"(9, 13)"
1.0,"(9, 14)"
1.0,"(9, 15)"
1.0,"(9, 16)"
1.0,"(9, 17)"
1.0,"(9, 18)"
1.0,"(9, 19)"
1.0,"(9, 20)"
1.0,"(9, 21)"
1.0,"(9, 22)"
1.0,"(10, 12)"
1.0,"(10, 13)"
1.0,"(10, 14)"
1.0,"(10, 15)"
1.0,"(10, 16)"
1.0,"(10, 17)"
1.0,"(10, 18)"
1.0,"(10, 19)"
1.0,"(10, 20)"
1.0,"(10, 21)"
1.0,"(10, 22)"
1.0,"(11, 12)"
1.0,"(11, 13)"
1.0,"(11, 14)"
1.0,"(11, 15)"
1.0,"(11, 16)"
1.0,"(11, 17)"
1.0,"(11, 18)"
1.0,"(11, 19)"
1.0,"(11, 20)"
1.0,"(11, 21)"
1.0,"(11, 22)"
1.0,"(12, 12)"
1.0,"(12, 13)"
1.0,"(12, 14)"
1.0,"(12, 15)"
1.0,"(12, 16)"
1.0,"(12, 17)"
1.0,"(12, 18)"
1.0,"(12, 19)"
1.0,"(12, 20)"
1.0,"(12, 21)"
1.0,"(12, 22)"
1.0,"(13, 12)"
1.0,"(13, 13)"
1.0,"(13, 14)"
1.0,"(13, 15)"
1.0,"(13, 16)"
1.0,"(13, 17)"
1.0,"(13, 18)"
1.0,"(13, 19)"
1.0,"(13, 20)"
1.0,"(13, 21)"
1.0,"(13, 22)"
1.0,"(14, 12)"
1.0,"(14, 13)"
1.0,"(14, 14)"
1.0,"(14, 15)"
1.0,"(14, 16)"
1.0,"(14, 17)"
1.0,"(14, 18)"
1.0,"(14, 19)"
1.0,"(14, 20)"
1.0,"(14, 21)"
1.0,"(14, 22)"
1.0,"(15, 12)"
1.0,"(15, 13)"
1.0,"(15, 14)"
1.0,"(15, 15)"
1.0,"(15, 16)"
1.0,"(15, 17)"
1.0,"(15, 18)"
1.0,"(15, 19)"
1.0,"(15, 20)"
1.0,"(15, 21)"
1.0,"(15, 22)"
1.0,"(16, 12)"
1.0,"(16, 13)"
1.0,"(16, 14)"
1.0,"(16, 15)"
1.0,"(16, 16)"
1.0,"(16, 17)"
1.0,"(16, 18)"
1.0,"(16, 19)"
1.0,"(16, 20)"
1.0,"(16, 21)"
1.0,"(16, 22)"
1.0,"(17, 12)"
1.0,"(17, 13)"
1.0,"(17, 14)"
1.0,"(17, 15)"
1.0,"(17, 16)"
