deviation_factor,midpoint
1.0,"(9, 16)"
1.0,"(9, 17)"
1.0,"(9, 18)"
1.0,"(9, 19)"
1.0,"(9, 20)"
1.0,"(10, 16)"
1.0,"(10, 17)"
1.0,"(10, 18)"
1.0,"(10, 19)"
1.0,"(10, 20)"
1.0,"(11, 16)"
1.0,"(11, 17)"
1.0,"(11, 18)"
1.0,"(11, 19)"
1.0,"(11, 20)"
1.0,"(12, 16)"
1.0,"(12, 17)"
1.0,"(12, 18)"
1.0,"(12, 19)"
1.0,"(12, 20)"
1.0,"(13, 16)"
1.0,"(13, 17)"
1.0,"(13, 18)"
1.0,"(13, 19)"
1.0,"(13, 20)"
1.0,"(14, 16)"
1.0,"(14, 17)"
1.0,"(14, 18)"
1.0,"(14, 19)"
1.0,"(14, 20)"
1.0,"(15, 16)"
1.0,"(15, 17)"
1.0,"(15, 18)"
1.0,"(15, 19)"
1.0,"(15, 20)"
1.0,"(16, 16)"
1.0,"(16, 17)"
1.0,"(16, 18)"
1.0,"(16, 19)"
1.0,"(16, 20)"
1.0,"(17, 16)"
1.0,"(17, 17)"
1.0,"(17, 18)"
1.0,"(17, 19)"
1.0,"(17, 20)"
1.0,"(18, 16)"
1.0,"(18, 17)"
1.0,"(18, 18)"
1.0,"(18, 19)"
1.0,"(18, 20)"
1.0,"(19, 16)"
1.0,"(19, 17)"
1.0,"(19, 18)"
1.0,"(19, 19)"
1.0,"(19, 20)"
1.0,"(20, 16)"
1.0,"(20, 17)"
1.0,"(20, 18)"
1.0,"(20, 19)"
1.0,"(20, 20)"
1.0,"(21, 16)"
1.0,"(21, 17)"
1.0,"(21, 18)"
1.0,"(21, 19)"
1.0,"(21, 20)"
1.0,"(22, 16)"
1.0,"(22, 17)"
1.0,"(22, 18)"
1.0,"(22, 19)"
1.0,"(22, 20)"
1.0,"(23, 16)"
1.0,"(23, 17)"
1.0,"(23, 18)"
1.0,"(23, 19)"
1.0,"(23, 20)"
1.0,"(24, 16)"
1.0,"(24, 17)"
1.0,"(24, 18)"
1.0,"(24, 19)"
1.0,"(24, 20)"
1.0,"(25, 16)"
1.0,"(25, 17)"
1.0,"(25, 18)"
1.0,"(25, 19)"
1.0,"(25, 20)"
1.0,"(26, 16)"
1.0,"(26, 17)"
1.0,"(26, 18)"
1.0,"(26, 19)"
1.0,"(26, 20)"
1.0,"(27, 16)"
1.0,"(27, 17)"
1.0,"(27, 18)"
1.0,"(27, 19)"
1.0,"(27, 20)"
1.0,"(28, 16)"
1.0,"(28, 17)"
1.0,"(28, 18)"
1.0,"(28, 19)"
1.0,"(28, 20)"
1.0,"(29, 16)"
1.0,"(29, 17)"
1.0,"(29, 18)"
1.0,"(29, 19)"
1.0,"(29, 20)"
1.0,"(30, 16)"
1.0,"(30, 17)"
1.0,"(30, 18)"
1.0,"(30, 19)"
1.0,"(30, 20)"
1.0,"(31, 16)"
1.0,"(31, 17)"
1.0,"(31, 18)"
1.0,"(31, 19)"
1.0,"(31, 20)"
1.05,"(9, 15)"
1.05,"(9, 21)"
1.05,"(10, 15)"
1.05,"(10, 21)"
1.05,"(11, 15)"
1.05,"(11, 21)"
1.05,"(12, 15)"
1.05,"(12, 21)"
1.05,"(13, 15)"
1.05,"(13, 21)"
1.05,"(14, 15)"
1.05,"(14, 21)"
1.05,"(15, 15)"
1.05,"(15, 21)"
1.05,"(16, 15)"
1.05,"(16, 21)"
1.05,"(17, 15)"
1.05,"(17, 21)"
1.05,"(18, 15)"
1.05,"(18, 21)"
1.05,"(19, 15)"
1.05,"(19, 21)"
1.05,"(20, 15)"
1.05,"(20, 21)"
1.05,"(21, 15)"
1.05,"(21, 21)"
1.05,"(22, 15)"
1.05,"(22, 21)"
1.05,"(23, 15)"
1.05,"(23, 21)"
1.05,"(24, 15)"
1.05,"(24, 21)"
1.05,"(25, 15)"
1.05,"(25, 21)"
1.05,"(26, 15)"
1.05,"(26, 21)"
1.05,"(27, 15)"
1.05,"(27, 21)"
1.05,"(28, 15)"
1.05,"(28, 21)"
1.05,"(29, 15)"
1.05,"(29, 21)"
1.05,"(30, 15)"
1.05,"(30, 21)"
1.05,"(31, 15)"
1.05,"(31, 21)"
1.09,"(9, 14)"
1.09,"(9, 22)"
1.09,"(10, 14)"
1.09,"(10, 22)"
1.09,"(11, 14)"
1.09,"(11, 22)"
1.09,"(12, 14)"
1.09,"(12, 22)"
1.09,"(13, 14)"
1.09,"(13, 22)"
1.09,"(14, 14)"
1.09,"(14, 22)"
1.09,"(15, 14)"
1.09,"(15, 22)"
1.09,"(16, 14)"
1.09,"(16, 22)"
1.09,"(17, 14)"
1.09,"(17, 22)"
1.09,"(18, 14)"
1.09,"(18, 22)"
1.09,"(19, 14)"
1.09,"(19, 22)"
1.09,"(20, 14)"
1.09,"(20, 22)"
1.09,"(21, 14)"
1.09,"(21, 22)"
1.09,"(22, 14)"
1.09,"(22, 22)"
1.09,"(23, 14)"
1.09,"(23, 22)"
1.09,"(24, 14)"
1.09,"(24, 22)"
1.09,"(25, 14)"
1.09,"(25, 22)"
1.09,"(26, 14)"
1.09,"(26, 22)"
1.09,"(27, 14)"
1.09,"(27, 22)"
1.09,"(28, 14)"
1.09,"(28, 22)"
1.09,"(29, 14)"
1.09,"(29, 22)"
1.09,"(30, 14)"
1.09,"(30, 22)"
1.09,"(31, 14)"
1.09,"(31, 22)"
1.14,"(9, 13)"
1.14,"(9, 23)"
1.14,"(10, 13)"
1.14,"(10, 23)"
1.14,"(11, 13)"
1.14,"(11, 23)"
1.14,"(12, 13)"
1.14,"(12, 23)"
1.14,"(13, 13)"
1.14,"(13, 23)"
1.14,"(14, 13)"
1.14,"(14, 23)"
1.14,"(15, 13)"
1.14,"(15, 23)"
1.14,"(16, 13)"
1.14,"(16, 23)"
1.14,"(17, 13)"
1.14,"(17, 23)"
1.14,"(18, 13)"
1.14,"(18, 23)"
1.14,"(19, 13)"
1.14,"(19, 23)"
1.14,"(20, 13)"
1.14,"(20, 23)"
1.14,"(21, 13)"
1.14,"(21, 23)"
1.14,"(22, 13)"
1.14,"(22, 23)"
1.14,"(23, 13)"
1.14,"(23, 23)"
1.14,"(24, 13)"
1.14,"(24, 23)"
1.14,"(25, 13)"
1.14,"(25, 23)"
1.14,"(26, 13)"
1.14,"(26, 23)"
1.14,"(27, 13)"
1.14,"(27, 23)"
1.14,"(28, 13)"
1.14,"(28, 23)"
1.14,"(29, 13)"
1.14,"(29, 23)"
1.14,"(30, 13)"
1.14,"(30, 23)"
1.14,"(31, 13)"
1.14,"(31, 23)"
1.19,"(9, 12)"
1.19,"(9, 24)"
1.19,"(10, 12)"
1.19,"(10, 24)"
1.19,"(11, 12)"
