deviation_factor,midpoint
1.0,"(5, 6)"
1.0,"(5, 7)"
1.0,"(5, 8)"
1.0,"(5, 9)"
1.0,"(5, 10)"
1.0,"(5, 11)"
1.0,"(5, 12)"
1.0,"(6, 6)"
1.0,"(6, 7)"
1.0,"(6, 8)"
1.0,"(6, 9)"
1.0,"(6, 10)"
1.0,"(6, 11)"
1.0,"(6, 12)"
1.0,"(7, 6)"
1.0,"(7, 7)"
1.0,"(7, 8)"
1.0,"(7, 9)"
1.0,"(7, 10)"
1.0,"(7, 11)"
1.0,"(7, 12)"
1.0,"(8, 6)"
1.0,"(8, 7)"
1.0,"(8, 8)"
1.0,"(8, 9)"
1.0,"(8, 10)"
1.0,"(8, 11)"
1.0,"(8, 12)"
1.0,"(9, 6)"
1.0,"(9, 7)"
1.0,"(9, 8)"
1.0,"(9, 9)"
1.0,"(9, 10)"
1.0,"(9, 11)"
1.0,"(9, 12)"
1.0,"(10, 6)"
1.0,"(10, 7)"
1.0,"(10, 8)"
1.0,"(10, 9)"
1.0,"(10, 10)"
1.0,"(10, 11)"
1.0,"(10, 12)"
1.0,"(11, 6)"
1.0,"(11, 7)"
1.0,"(11, 8)"
1.0,"(11, 9)"
1.0,"(11, 10)"
1.0,"(11, 11)"
1.0,"(11, 12)"
1.0,"(12, 6)"
1.0,"(12, 7)"
1.0,"(12, 8)"
1.0,"(12, 9)"
1.0,"(12, 10)"
1.0,"(12, 11)"
1.0,"(12, 12)"
1.0,"(13, 6)"
1.0,"(13, 7)"
1.0,"(13, 8)"
1.0,"(13, 9)"
1.0,"(13, 10)"
1.0,"(13, 11)"
1.0,"(13, 12)"
1.0,"(14, 6)"
1.0,"(14, 7)"
1.0,"(14, 8)"
1.0,"(14, 9)"
1.0,"(14, 10)"
1.0,"(14, 11)"
1.0,"(14, 12)"
1.0,"(15, 6)"
1.0,"(15, 7)"
1.0,"(15, 8)"
1.0,"(15, 9)"
1.0,"(15, 10)"
1.0,"(15, 11)"
1.0,"(15, 12)"
1.08,"(5, 5)"
1.08,"(5, 13)"
1.08,"(6, 5)"
1.08,"(6, 13)"
1.08,"(7, 5)"
1.08,"(7, 13)"
1.08,"(8, 5)"
1.08,"(8, 13)"
1.08,"(9, 5)"
1.08,"(9, 13)"
1.08,"(10, 5)"
1.08,"(10, 13)"
1.08,"(11, 5)"
1.08,"(11, 13)"
1.08,"(12, 5)"
1.08,"(12, 13)"
1.08,"(13, 5)"
1.08,"(13, 13)"
1.08,"(14, 5)"
1.08,"(14, 13)"
1.08,"(15, 5)"
1.08,"(15, 13)"
1.16,"(5, 4)"
1.16,"(5, 14)"
1.16,"(6, 4)"
1.16,"(6, 14)"
1.16,"(7, 4)"
1.16,"(7, 14)"
1.16,"(8, 4)"
1.16,"(8, 14)"
1.16,"(9, 4)"
1.16,"(9, 14)"
1.16,"(10, 4)"
1.16,"(10, 14)"
1.16,"(11, 4)"
1.16,"(11, 14)"
1.16,"(12, 4)"
1.16,"(12, 14)"
1.16,"(13, 4)"
1.16,"(13, 14)"
1.16,"(14, 4)"
1.16,"(14, 14)"
1.16,"(15, 4)"
1.16,"(15, 14)"
1.24,"(5, 3)"
1.24,"(5, 15)"
1.24,"(6, 3)"
1.24,"(6, 15)"
1.24,"(7, 3)"
1.24,"(7, 15)"
1.24,"(8, 3)"
1.24,"(8, 15)"
1.24,"(9, 3)"
1.24,"(9, 15)"
1.24,"(10, 3)"
1.24,"(10, 15)"
1.24,"(11, 3)"
1.24,"(11, 15)"
1.24,"(12, 3)"
1.24,"(12, 15)"
1.24,"(13, 3)"
1.24,"(13, 15)"
1.24,"(14, 3)"
1.24,"(14, 15)"
1.24,"(15, 3)"
1.24,"(15, 15)"
1.32,"(5, 2)"
1.32,"(5, 16)"
1.32,"(6, 2)"
1.32,"(6, 16)"
1.32,"(7, 2)"
1.32,"(7, 16)"
1.32,"(8, 2)"
1.32,"(8, 16)"
1.32,"(9, 2)"
1.32,"(9, 16)"
1.32,"(10, 2)"
1.32,"(10, 16)"
1.32,"(11, 2)"
1.32,"(11, 16)"
1.32,"(12, 2)"
1.32,"(12, 16)"
1.32,"(13, 2)"
1.32,"(13, 16)"
1.32,"(14, 2)"
1.32,"(14, 16)"
1.32,"(15, 2)"
1.32,"(15, 16)"
1.4,"(5, 1)"
1.4,"(5, 17)"
1.4,"(6, 1)"
1.4,"(6, 17)"
1.4,"(7, 1)"
1.4,"(7, 17)"
1.4,"(8, 1)"
1.4,"(8, 17)"
1.4,"(9, 1)"
1.4,"(9, 17)"
1.4,"(10, 1)"
1.4,"(10, 17)"
1.4,"(11, 1)"
1.4,"(11, 17)"
1.4,"(12, 1)"
1.4,"(12, 17)"
1.4,"(13, 1)"
1.4,"(13, 17)"
1.4,"(14, 1)"
1.4,"(14, 17)"
1.4,"(15, 1)"
1.4,"(15, 17)"
1.48,"(5, 0)"
1.48,"(5, 18)"
1.48,"(6, 0)"
1.48,"(6, 18)"
1.48,"(7, 0)"
1.48,"(7, 18)"
1.48,"(8, 0)"
1.48,"(8, 18)"
1.48,"(9, 0)"
1.48,"(9, 18)"
1.48,"(10, 0)"
1.48,"(10, 18)"
1.48,"(11, 0)"
1.48,"(11, 18)"
1.48,"(12, 0)"
1.48,"(12, 18)"
1.48,"(13, 0)"
1.48,"(13, 18)"
1.48,"(14, 0)"
1.48,"(14, 18)"
1.48,"(15, 0)"
1.48,"(15, 18)"
1.56,"(5, 19)"
1.56,"(6, 19)"
1.56,"(7, 19)"
1.56,"(8, 19)"
1.56,"(9, 19)"
1.56,"(10, 19)"
1.56,"(11, 19)"
1.56,"(12, 19)"
1.56,"(13, 19)"
1.56,"(14, 19)"
1.56,"(15, 19)"
