deviation_factor,midpoint
1.0,"(9, 20)"
1.0,"(9, 21)"
1.0,"(9, 22)"
1.0,"(9, 23)"
1.0,"(9, 24)"
1.0,"(10, 20)"
1.0,"(10, 21)"
1.0,"(10, 22)"
1.0,"(10, 23)"
1.0,"(10, 24)"
1.0,"(11, 20)"
1.0,"(11, 21)"
1.0,"(11, 22)"
1.0,"(11, 23)"
1.0,"(11, 24)"
1.0,"(12, 20)"
1.0,"(12, 21)"
1.0,"(12, 22)"
1.0,"(12, 23)"
1.0,"(12, 24)"
1.0,"(13, 20)"
1.0,"(13, 21)"
1.0,"(13, 22)"
1.0,"(13, 23)"
1.0,"(13, 24)"
1.0,"(14, 20)"
1.0,"(14, 21)"
1.0,"(14, 22)"
1.0,"(14, 23)"
1.0,"(14, 24)"
1.0,"(15, 20)"
1.0,"(15, 21)"
1.0,"(15, 22)"
1.0,"(15, 23)"
1.0,"(15, 24)"
1.0,"(16, 20)"
1.0,"(16, 21)"
1.0,"(16, 22)"
1.0,"(16, 23)"
1.0,"(16, 24)"
1.0,"(17, 20)"
1.0,"(17, 21)"
1.0,"(17, 22)"
1.0,"(17, 23)"
1.0,"(17, 24)"
1.0,"(18, 20)"
1.0,"(18, 21)"
1.0,"(18, 22)"
1.0,"(18, 23)"
1.0,"(18, 24)"
1.0,"(19, 20)"
1.0,"(19, 21)"
1.0,"(19, 22)"
1.0,"(19, 23)"
1.0,"(19, 24)"
1.0,"(20, 20)"
1.0,"(20, 21)"
1.0,"(20, 22)"
1.0,"(20, 23)"
1.0,"(20, 24)"
1.0,"(21, 20)"
1.0,"(21, 21)"
1.0,"(21, 22)"
1.0,"(21, 23)"
1.0,"(21, 24)"
1.0,"(22, 20)"
1.0,"(22, 21)"
1.0,"(22, 22)"
1.0,"(22, 23)"
1.0,"(22, 24)"
1.0,"(23, 20)"
1.0,"(23, 21)"
1.0,"(23, 22)"
1.0,"(23, 23)"
1.0,"(23, 24)"
1.0,"(24, 20)"
1.0,"(24, 21)"
1.0,"(24, 22)"
1.0,"(24, 23)"
1.0,"(24, 24)"
1.0,"(25, 20)"
1.0,"(25, 21)"
1.0,"(25, 22)"
1.0,"(25, 23)"
1.0,"(25, 24)"
1.0,"(26, 20)"
1.0,"(26, 21)"
1.0,"(26, 22)"
1.0,"(26, 23)"
1.0,"(26, 24)"
1.0,"(27, 20)"
1.0,"(27, 21)"
1.0,"(27, 22)"
1.0,"(27, 23)"
1.0,"(27, 24)"
1.0,"(28, 20)"
1.0,"(28, 21)"
1.0,"(28, 22)"
1.0,"(28, 23)"
1.0,"(28, 24)"
1.0,"(29, 20)"
1.0,"(29, 21)"
1.0,"(29, 22)"
1.0,"(29, 23)"
1.0,"(29, 24)"
1.0,"(30, 20)"
1.0,"(30, 21)"
1.0,"(30, 22)"
1.0,"(30, 23)"
1.0,"(30, 24)"
1.0,"(31, 20)"
1.0,"(31, 21)"
1.0,"(31, 22)"
1.0,"(31, 23)"
1.0,"(31, 24)"
1.05,"(9, 19)"
1.05,"(9, 25)"
1.05,"(10, 19)"
1.05,"(10, 25)"
1.05,"(11, 19)"
1.05,"(11, 25)"
1.05,"(12, 19)"
1.05,"(12, 25)"
1.05,"(13, 19)"
1.05,"(13, 25)"
1.05,"(14, 19)"
1.05,"(14, 25)"
1.05,"(15, 19)"
1.05,"(15, 25)"
1.05,"(16, 19)"
1.05,"(16, 25)"
1.05,"(17, 19)"
1.05,"(17, 25)"
1.05,"(18, 19)"
1.05,"(18, 25)"
1.05,"(19, 19)"
1.05,"(19, 25)"
1.05,"(20, 19)"
1.05,"(20, 25)"
1.05,"(21, 19)"
1.05,"(21, 25)"
1.05,"(22, 19)"
1.05,"(22, 25)"
1.05,"(23, 19)"
1.05,"(23, 25)"
1.05,"(24, 19)"
1.05,"(24, 25)"
1.05,"(25, 19)"
1.05,"(25, 25)"
1.05,"(26, 19)"
1.05,"(26, 25)"
1.05,"(27, 19)"
1.05,"(27, 25)"
1.05,"(28, 19)"
1.05,"(28, 25)"
1.05,"(29, 19)"
1.05,"(29, 25)"
1.05,"(30, 19)"
1.05,"(30, 25)"
1.05,"(31, 19)"
1.05,"(31, 25)"
1.09,"(9, 18)"
1.09,"(9, 26)"
1.09,"(10, 18)"
1.09,"(10, 26)"
1.09,"(11, 18)"
1.09,"(11, 26)"
