deviation_factor,midpoint
1.0,"(9, 26)"
1.0,"(9, 27)"
1.0,"(9, 28)"
1.0,"(9, 29)"
1.0,"(9, 30)"
1.0,"(10, 26)"
1.0,"(10, 27)"
1.0,"(10, 28)"
1.0,"(10, 29)"
1.0,"(10, 30)"
1.0,"(11, 26)"
1.0,"(11, 27)"
1.0,"(11, 28)"
1.0,"(11, 29)"
1.0,"(11, 30)"
1.0,"(12, 26)"
1.0,"(12, 27)"
1.0,"(12, 28)"
1.0,"(12, 29)"
1.0,"(12, 30)"
1.0,"(13, 26)"
1.0,"(13, 27)"
1.0,"(13, 28)"
1.0,"(13, 29)"
1.0,"(13, 30)"
1.0,"(14, 26)"
1.0,"(14, 27)"
1.0,"(14, 28)"
1.0,"(14, 29)"
1.0,"(14, 30)"
1.0,"(15, 26)"
1.0,"(15, 27)"
1.0,"(15, 28)"
1.0,"(15, 29)"
1.0,"(15, 30)"
1.0,"(16, 26)"
1.0,"(16, 27)"
1.0,"(16, 28)"
1.0,"(16, 29)"
1.0,"(16, 30)"
1.0,"(17, 26)"
1.0,"(17, 27)"
1.0,"(17, 28)"
1.0,"(17, 29)"
1.0,"(17, 30)"
1.0,"(18, 26)"
1.0,"(18, 27)"
1.0,"(18, 28)"
1.0,"(18, 29)"
1.0,"(18, 30)"
1.0,"(19, 26)"
1.0,"(19, 27)"
1.0,"(19, 28)"
1.0,"(19, 29)"
1.0,"(19, 30)"
1.0,"(20, 26)"
1.0,"(20, 27)"
1.0,"(20, 28)"
1.0,"(20, 29)"
1.0,"(20, 30)"
1.0,"(21, 26)"
1.0,"(21, 27)"
1.0,"(21, 28)"
1.0,"(21, 29)"
1.0,"(21, 30)"
1.0,"(22, 26)"
1.0,"(22, 27)"
1.0,"(22, 28)"
1.0,"(22, 29)"
1.0,"(22, 30)"
1.0,"(23, 26)"
1.0,"(23, 27)"
1.0,"(23, 28)"
1.0,"(23, 29)"
1.0,"(23, 30)"
1.0,"(24, 26)"
1.0,"(24, 27)"
1.0,"(24, 28)"
1.0,"(24, 29)"
1.0,"(24, 30)"
1.0,"(25, 26)"
1.0,"(25, 27)"
1.0,"(25, 28)"
1.0,"(25, 29)"
1.0,"(25, 30)"
1.0,"(26, 26)"
1.0,"(26, 27)"
1.0,"(26, 28)"
1.0,"(26, 29)"
1.0,"(26, 30)"
1.0,"(27, 26)"
1.0,"(27, 27)"
1.0,"(27, 28)"
1.0,"(27, 29)"
1.0,"(27, 30)"
1.0,"(28, 26)"
1.0,"(28, 27)"
1.0,"(28, 28)"
1.0,"(28, 29)"
1.0,"(28, 30)"
1.0,"(29, 26)"
1.0,"(29, 27)"
1.0,"(29, 28)"
1.0,"(29, 29)"
1.0,"(29, 30)"
1.0,"(30, 26)"
1.0,"(30, 27)"
1.0,"(30, 28)"
1.0,"(30, 29)"
1.0,"(30, 30)"
1.0,"(31, 26)"
1.0,"(31, 27)"
1.0,"(31, 28)"
1.0,"(31, 29)"
1.0,"(31, 30)"
1.05,"(9, 25)"
1.05,"(9, 31)"
1.05,"(10, 25)"
1.05,"(10, 31)"
1.05,"(11, 25)"
1.05,"(11, 31)"
1.05,"(12, 25)"
1.05,"(12, 31)"
1.05,"(13, 25)"
1.05,"(13, 31)"
1.05,"(14, 25)"
1.05,"(14, 31)"
1.05,"(15, 25)"
1.05,"(15, 31)"
1.05,"(16, 25)"
1.05,"(16, 31)"
1.05,"(17, 25)"
1.05,"(17, 31)"
1.05,"(18, 25)"
1.05,"(18, 31)"
1.05,"(19, 25)"
1.05,"(19, 31)"
1.05,"(20, 25)"
1.05,"(20, 31)"
1.05,"(21, 25)"
1.05,"(21, 31)"
1.05,"(22, 25)"
1.05,"(22, 31)"
1.05,"(23, 25)"
1.05,"(23, 31)"
1.05,"(24, 25)"
1.05,"(24, 31)"
1.05,"(25, 25)"
1.05,"(25, 31)"
1.05,"(26, 25)"
1.05,"(26, 31)"
1.05,"(27, 25)"
1.05,"(27, 31)"
1.05,"(28, 25)"
1.05,"(28, 31)"
1.05,"(29, 25)"
1.05,"(29, 31)"
1.05,"(30, 25)"
1.05,"(30, 31)"
1.05,"(31, 25)"
1.05,"(31, 31)"
1.09,"(9, 24)"
1.09,"(9, 32)"
1.09,"(10, 24)"
1.09,"(10, 32)"
1.09,"(11, 24)"
1.09,"(11, 32)"
1.09,"(12, 24)"
1.09,"(12, 32)"
1.09,"(13, 24)"
1.09,"(13, 32)"
1.09,"(14, 24)"
1.09,"(14, 32)"
1.09,"(15, 24)"
1.09,"(15, 32)"
1.09,"(16, 24)"
1.09,"(16, 32)"
1.09,"(17, 24)"
1.09,"(17, 32)"
1.09,"(18, 24)"
1.09,"(18, 32)"
1.09,"(19, 24)"
1.09,"(19, 32)"
1.09,"(20, 24)"
1.09,"(20, 32)"
1.09,"(21, 24)"
1.09,"(21, 32)"
1.09,"(22, 24)"
1.09,"(22, 32)"
1.09,"(23, 24)"
1.09,"(23, 32)"
1.09,"(24, 24)"
1.09,"(24, 32)"
1.09,"(25, 24)"
1.09,"(25, 32)"
1.09,"(26, 24)"
1.09,"(26, 32)"
1.09,"(27, 24)"
1.09,"(27, 32)"
1.09,"(28, 24)"
1.09,"(28, 32)"
1.09,"(29, 24)"
1.09,"(29, 32)"
1.09,"(30, 24)"
1.09,"(30, 32)"
1.09,"(31, 24)"
1.09,"(31, 32)"
1.14,"(9, 23)"
1.14,"(9, 33)"
1.14,"(10, 23)"
1.14,"(10, 33)"
1.14,"(11, 23)"
1.14,"(11, 33)"
1.14,"(12, 23)"
1.14,"(12, 33)"
1.14,"(13, 23)"
1.14,"(13, 33)"
1.14,"(14, 23)"
1.14,"(14, 33)"
1.14,"(15, 23)"
1.14,"(15, 33)"
1.14,"(16, 23)"
1.14,"(16, 33)"
1.14,"(17, 23)"
1.14,"(17, 33)"
1.14,"(18, 23)"
1.14,"(18, 33)"
1.14,"(19, 23)"
1.14,"(19, 33)"
1.14,"(20, 23)"
1.14,"(20, 33)"
1.14,"(21, 23)"
1.14,"(21, 33)"
1.14,"(22, 23)"
1.14,"(22, 33)"
1.14,"(23, 23)"
1.14,"(23, 33)"
1.14,"(24, 23)"
1.14,"(24, 33)"
1.14,"(25, 23)"
1.14,"(25, 33)"
1.14,"(26, 23)"
1.14,"(26, 33)"
1.14,"(27, 23)"
1.14,"(27, 33)"
1.14,"(28, 23)"
1.14,"(28, 33)"
1.14,"(29, 23)"
1.14,"(29, 33)"
1.14,"(30, 23)"
1.14,"(30, 33)"
1.14,"(31, 23)"
1.14,"(31, 33)"
1.19,"(9, 22)"
1.19,"(9, 34)"
1.19,"(10, 22)"
1.19,"(10, 34)"
1.19,"(11, 22)"
1.19,"(11, 34)"
1.19,"(12, 22)"
1.19,"(12, 34)"
1.19,"(13, 22)"
1.19,"(13, 34)"
1.19,"(14, 22)"
1.19,"(14, 34)"
1.19,"(15, 22)"
1.19,"(15, 34)"
1.19,"(16, 22)"
1.19,"(16, 34)"
1.19,"(17, 22)"
1.19,"(17, 34)"
1.19,"(18, 22)"
1.19,"(18, 34)"
1.19,"(19, 22)"
1.19,"(19, 34)"
1.19,"(20, 22)"
1.19,"(20, 34)"
1.19,"(21, 22)"
1.19,"(21, 34)"
