y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69,y_70,x_70,y_71,x_71,y_72,x_72,y_73,x_73,y_74,x_74,y_75,x_75,y_76,x_76
39,30,39,30,38,30,37,30,36,30,35,30,34,30,33,30,32,30,31,30,30,30,30,31,29,31,28,31,27,31,26,31,25,31,24,31,23,31,23,32,22,32,21,32,20,32,19,32,19,33,19,34,19,35,18,35,17,35,17,36,16,36,15,36,14,36,14,37,14,38,13,38,12,38,12,39,12,38,12,37,12,36,12,35,12,34,12,33,12,32,12,31,12,30,12,29,12,28,12,27,12,26,12,25,12,24,12,23,12,22,12,21,12,20,12,19,12,18,12,17,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,4,15,3,15,3,14,3,13,3,12,2,12,1,12,0,12
39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,38,30,37,30,36,30,35,30,34,30,33,30,32,30,31,30,31,29,30,29,29,29,28,29,27,29,26,29,25,29,24,29,23,29,22,29,21,29,20,29,19,29,18,29,17,29,16,29,16,28,15,28,14,28,13,28,12,28,11,28,10,28,10,27,10,26,9,26,9,25,8,25,8,24,8,23,8,22,7,22,7,21,6,21,6,20,6,19,6,18,5,18,5,17,5,16,4,16,3,16,3,15,2,15,1,15,1,14,1,13,1,12,0,12
39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,38,30,37,30,36,30,35,30,35,31,34,31,33,31,32,31,31,31,30,31,29,31,28,31,27,31,26,31,25,31,24,31,23,31,23,30,23,29,22,29,21,29,21,28,21,27,21,26,21,25,20,25,20,24,20,23,20,22,19,22,18,22,17,22,16,22,15,22,14,22,14,21,14,20,13,20,13,19,12,19,12,18,12,17,12,16,11,16,11,15,10,15,9,15,9,14,9,13,8,13,7,13,6,13,5,13,4,13,3,13,3,12,2,12,1,12,0,12
39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,38,30,38,29,37,29,36,29,35,29,34,29,34,28,33,28,33,27,32,27,32,26,31,26,31,25,31,24,30,24,29,24,28,24,27,24,27,23,26,23,26,22,26,21,25,21,25,20,24,20,23,20,22,20,21,20,21,19,20,19,19,19,19,18,19,17,19,16,18,16,18,15,17,15,17,14,16,14,16,13,15,13,15,12,15,11,15,10,14,10,13,10,12,10,12,11,11,11,10,11,9,11,8,11,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1,12,0,12
39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,38,30,37,30,36,30,35,30,34,30,33,30,32,30,31,30,31,31,30,31,29,31,28,31,28,32,27,32,27,33,27,32,26,32,26,31,26,30,25,30,25,29,25,28,24,28,24,27,23,27,23,26,22,26,22,25,21,25,20,25,19,25,19,24,19,23,19,22,18,22,18,21,17,21,17,20,16,20,16,19,16,18,15,18,14,18,13,18,12,18,11,18,10,18,10,17,9,17,8,17,7,17,6,17,6,16,6,15,6,14,5,14,5,13,4,13,3,13,3,12,2,12,1,12,0,12
39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,38,30,37,30,36,30,36,29,35,29,35,28,34,28,33,28,33,27,33,26,33,25,33,24,33,23,33,22,33,21,32,21,31,21,31,20,31,19,30,19,29,19,29,18,29,17,29,16,29,15,29,14,29,13,28,13,28,12,27,12,26,12,25,12,24,12,23,12,22,12,21,12,20,12,19,12,18,12,17,12,16,12,15,12,14,12,13,12,12,12,11,12,10,12,9,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1,12,0,12
39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,38,30,37,30,37,29,36,29,36,28,35,28,34,28,33,28,32,28,31,28,31,27,30,27,30,26,30,25,30,24,29,24,28,24,27,24,27,23,26,23,25,23,25,22,24,22,24,21,23,21,22,21,21,21,21,20,20,20,19,20,18,20,17,20,17,19,17,18,17,17,16,17,16,16,16,15,15,15,15,14,14,14,13,14,12,14,11,14,11,13,10,13,9,13,8,13,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1,12,0,12
39,30,39,30,39,30,39,30,39,30,39,30,38,30,38,29,38,28,37,28,36,28,35,28,35,27,35,26,34,26,33,26,32,26,32,25,31,25,31,24,31,23,31,22,31,21,31,20,31,19,31,18,31,17,31,16,31,15,31,14,31,13,31,12,30,12,30,11,29,11,28,11,28,10,28,9,28,8,28,7,27,7,26,7,26,6,26,5,25,5,24,5,23,5,22,5,21,5,20,5,20,6,20,7,20,8,20,9,19,9,19,10,18,10,17,10,16,10,15,10,14,10,14,11,13,11,12,11,11,11,10,11,9,11,8,11,7,11,6,11,6,12,5,12,4,12,3,12,2,12,1,12,0,12
39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,38,30,37,30,36,30,35,30,34,30,33,30,32,30,31,30,30,30,29,30,28,30,27,30,26,30,26,29,26,28,26,27,25,27,25,26,24,26,24,25,23,25,23,24,23,23,22,23,21,23,20,23,20,22,20,21,20,20,19,20,19,19,19,18,18,18,17,18,17,17,17,16,16,16,16,15,16,14,16,13,16,12,15,12,15,11,14,11,13,11,13,10,12,10,12,9,11,9,10,9,10,10,9,10,8,10,7,10,6,10,5,10,5,11,4,11,3,11,2,11,1,11,1,12,0,12
39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,38,30,37,30,36,30,35,30,34,30,33,30,32,30,31,30,31,29,31,28,30,28,29,28,28,28,27,28,26,28,25,28,25,27,24,27,23,27,22,27,21,27,20,27,19,27,18,27,17,27,17,26,17,25,16,25,16,24,16,23,16,22,15,22,15,21,14,21,14,20,14,19,14,18,13,18,12,18,12,17,12,16,12,15,11,15,11,14,10,14,9,14,8,14,7,14,6,14,6,13,5,13,4,13,4,12,3,12,2,12,1,12,0,12
39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,38,30,37,30,36,30,35,30,34,30,33,30,32,30,32,29,31,29,31,28,30,28,29,28,29,27,28,27,27,27,26,27,25,27,25,26,25,25,24,25,24,24,24,23,24,22,24,21,23,21,22,21,21,21,21,20,20,20,19,20,19,19,18,19,17,19,17,18,16,18,15,18,15,17,14,17,14,16,13,16,13,15,13,14,12,14,11,14,11,13,10,13,9,13,8,13,7,13,6,13,5,13,5,12,4,12,3,12,2,12,1,12,0,12
39,30,39,30,39,30,39,30,38,30,37,30,36,30,35,30,34,30,33,30,32,30,31,30,30,30,29,30,28,30,27,30,26,30,26,31,26,32,25,32,24,32,23,32,23,33,22,33,22,34,22,35,21,35,20,35,19,35,19,36,18,36,18,37,17,37,16,37,15,37,15,38,14,38,13,38,12,38,11,38,10,38,10,37,10,36,10,35,10,34,10,33,9,33,9,32,9,31,9,30,9,29,8,29,8,28,8,27,8,26,8,25,8,24,8,23,8,22,8,21,8,20,7,20,7,19,6,19,6,18,6,17,6,16,6,15,6,14,5,14,4,14,3,14,2,14,2,13,2,12,1,12,0,12
39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,38,30,37,30,36,30,35,30,34,30,34,29,33,29,32,29,31,29,30,29,29,29,28,29,27,29,27,28,27,27,27,26,26,26,25,26,25,25,25,24,24,24,23,24,23,23,22,23,21,23,21,22,21,21,20,21,20,20,19,20,18,20,18,19,18,18,18,17,18,16,18,15,17,15,17,14,17,13,16,13,15,13,15,12,14,12,13,12,12,12,11,12,10,12,9,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1,12,0,12
39,30,39,30,39,30,39,30,38,30,37,30,36,30,35,30,34,30,33,30,32,30,31,30,30,30,30,29,29,29,28,29,27,29,27,28,26,28,26,27,26,26,25,26,24,26,24,25,24,24,24,23,24,22,24,21,23,21,23,20,23,19,23,18,23,17,22,17,21,17,20,17,19,17,19,16,19,15,18,15,17,15,17,14,17,13,17,12,17,11,17,10,17,9,16,9,16,8,15,8,15,7,14,7,14,6,13,6,13,5,13,4,13,5,12,5,12,6,12,7,11,7,11,8,10,8,10,9,9,9,8,9,7,9,6,9,6,10,5,10,4,10,4,11,3,11,2,11,1,11,1,12,0,12
39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,38,30,37,30,36,30,35,30,34,30,33,30,33,29,32,29,31,29,31,28,30,28,29,28,29,27,28,27,28,26,27,26,26,26,25,26,25,25,24,25,24,24,24,23,23,23,22,23,21,23,21,22,21,21,21,20,21,19,20,19,19,19,19,18,19,17,18,17,17,17,17,16,16,16,16,15,15,15,15,14,15,13,15,12,14,12,14,11,14,10,13,10,12,10,11,10,11,11,10,11,9,11,8,11,7,11,6,11,5,11,5,12,4,12,3,12,2,12,1,12,0,12
39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,38,30,37,30,36,30,35,30,34,30,34,29,33,29,32,29,31,29,31,28,30,28,30,27,29,27,28,27,27,27,26,27,25,27,25,26,25,25,25,24,24,24,24,23,23,23,22,23,22,22,21,22,20,22,19,22,19,21,19,20,19,19,19,18,18,18,18,17,18,16,17,16,16,16,15,16,15,15,15,14,14,14,13,14,13,13,13,12,13,11,12,11,12,10,12,9,11,9,10,9,10,8,9,8,9,7,8,7,7,7,6,7,5,7,5,8,5,9,4,9,3,9,3,10,3,11,3,12,2,12,1,12,0,12
39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,38,30,37,30,36,30,35,30,34,30,33,30,33,29,32,29,31,29,31,28,30,28,29,28,29,27,28,27,28,26,28,25,28,24,27,24,26,24,25,24,24,24,24,23,23,23,23,22,23,21,22,21,21,21,20,21,20,20,20,19,20,18,20,17,19,17,18,17,18,16,18,15,18,14,17,14,16,14,15,14,14,14,13,14,13,13,12,13,11,13,10,13,9,13,8,13,7,13,6,13,5,13,4,13,3,13,3,12,2,12,1,12,0,12
39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,38,30,37,30,36,30,35,30,34,30,34,29,33,29,32,29,31,29,31,28,30,28,30,27,30,26,30,25,30,24,30,23,30,22,30,21,29,21,29,20,28,20,28,19,28,18,28,17,27,17,27,16,26,16,26,15,25,15,25,14,25,13,25,12,25,11,24,11,24,10,23,10,23,9,22,9,22,8,22,7,22,6,21,6,20,6,19,6,18,6,18,7,17,7,16,7,16,8,15,8,15,9,14,9,13,9,12,9,11,9,11,10,11,11,10,11,9,11,9,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1,12,0,12
39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,39,30,38,30,37,30,36,30,35,30,34,30,33,30,32,30,31,30,30,30,29,30,28,30,27,30,26,30,25,30,24,30,23,30,22,30,21,30,20,30,19,30,18,30,17,30,16,30,15,30,15,29,14,29,14,28,13,28,13,27,12,27,12,26,12,25,12,24,12,23,11,23,11,22,11,21,11,20,11,19,10,19,9,19,9,18,9,17,8,17,8,16,7,16,6,16,6,15,5,15,5,14,4,14,4,13,3,13,2,13,1,13,1,12,0,12
