y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46
39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,32,11,32,12,32,13,31,13,30,13,29,13,28,13,27,13,27,14,26,14,25,14,25,15,24,15,23,15,23,16,22,16,21,16,20,16,19,16,18,16,17,16,16,16,15,16,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,31,10,30,10,29,10,28,10,27,10,26,10,25,10,24,10,23,10,22,10,21,10,20,10,20,11,19,11,18,11,17,11,17,12,16,12,15,12,15,13,15,14,14,14,14,15,13,15,12,15,11,15,10,15,9,15,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,10,39,10,38,10,37,10,36,10,35,10,34,10,34,11,33,11,32,11,31,11,30,11,30,12,30,13,29,13,28,13,27,13,26,13,25,13,24,13,24,14,23,14,22,14,21,14,20,14,19,14,18,14,17,14,16,14,15,14,14,14,14,15,13,15,12,15,11,15,10,15,9,15,8,15,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,32,11,32,12,31,12,30,12,29,12,28,12,27,12,27,13,26,13,26,14,25,14,25,15,24,15,23,15,22,15,21,15,20,15,19,15,18,15,17,15,16,15,15,15,14,15,13,15,12,15,11,15,10,15,9,15,8,15,7,15,6,15,5,15,4,15,3,15,2,15,2,16,1,16,0,16
39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,31,10,30,10,30,11,29,11,28,11,27,11,26,11,25,11,24,11,23,11,22,11,21,11,21,12,20,12,19,12,18,12,17,12,16,12,16,13,15,13,14,13,13,13,13,14,13,15,12,15,11,15,10,15,9,15,8,15,7,15,6,15,5,15,4,15,3,15,2,15,1,15,1,16,0,16
39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,32,11,32,12,31,12,31,13,30,13,29,13,28,13,27,13,26,13,25,13,24,13,24,14,23,14,22,14,21,14,20,14,19,14,18,14,17,14,16,14,15,14,14,14,14,15,13,15,12,15,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,31,10,30,10,29,10,28,10,27,10,26,10,25,10,24,10,23,10,22,10,21,10,20,10,19,10,18,10,17,10,16,10,15,10,15,11,14,11,13,11,13,12,12,12,12,13,11,13,11,14,11,15,10,15,9,15,8,15,7,15,6,15,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,31,10,30,10,29,10,28,10,27,10,26,10,26,11,25,11,24,11,23,11,22,11,21,11,20,11,19,11,19,12,18,12,18,13,18,14,17,14,16,14,15,14,14,14,13,14,13,15,12,15,11,15,10,15,9,15,8,15,7,15,6,15,5,15,4,15,4,16,3,16,2,16,1,16,0,16
39,10,39,10,38,10,38,11,37,11,37,12,36,12,35,12,34,12,34,13,33,13,32,13,31,13,31,14,30,14,29,14,29,15,28,15,27,15,27,16,26,16,25,16,24,16,23,16,22,16,21,16,20,16,19,16,18,16,17,16,16,16,15,16,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,31,10,30,10,29,10,28,10,27,10,26,10,25,10,24,10,23,10,22,10,21,10,20,10,19,10,19,11,18,11,17,11,16,11,15,11,15,12,14,12,14,13,14,14,13,14,13,15,12,15,11,15,10,15,9,15,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,31,10,31,11,31,12,31,13,30,13,29,13,28,13,27,13,26,13,25,13,24,13,23,13,22,13,21,13,20,13,19,13,18,13,18,14,18,15,17,15,16,15,15,15,14,15,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,32,11,32,12,31,12,31,13,31,14,31,15,30,15,29,15,28,15,27,15,26,15,25,15,24,15,23,15,22,15,21,15,20,15,19,15,18,15,17,15,16,15,15,15,14,15,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,31,10,30,10,29,10,28,10,27,10,27,11,26,11,26,12,25,12,24,12,23,12,22,12,21,12,20,12,19,12,18,12,17,12,17,13,16,13,16,14,15,14,14,14,14,15,13,15,12,15,11,15,10,15,9,15,8,15,7,15,6,15,5,15,4,15,4,16,3,16,2,16,1,16,0,16
39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,31,10,30,10,29,10,28,10,27,10,26,10,25,10,24,10,23,10,22,10,22,11,21,11,20,11,20,12,19,12,18,12,18,13,17,13,16,13,15,13,14,13,13,13,12,13,11,13,10,13,9,13,9,14,9,15,8,15,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,10,39,10,38,10,37,10,36,10,35,10,34,10,34,11,33,11,32,11,31,11,30,11,29,11,28,11,27,11,26,11,25,11,24,11,23,11,22,11,22,12,21,12,20,12,19,12,18,12,17,12,17,13,16,13,15,13,15,14,15,15,14,15,13,15,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,31,10,30,10,29,10,28,10,27,10,26,10,25,10,24,10,23,10,22,10,21,10,20,10,19,10,18,10,17,10,16,10,15,10,14,10,13,10,12,10,11,10,10,10,9,10,9,11,9,12,9,13,9,14,8,14,7,14,7,15,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,10,39,10,38,10,37,10,36,10,35,10,35,11,34,11,33,11,32,11,32,12,31,12,30,12,30,13,29,13,28,13,28,14,27,14,26,14,25,14,24,14,23,14,23,15,22,15,21,15,20,15,19,15,18,15,17,15,16,15,15,15,15,16,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,10,39,10,38,10,37,10,36,10,35,10,34,10,34,11,34,12,33,12,32,12,31,12,30,12,29,12,28,12,27,12,26,12,25,12,24,12,23,12,23,13,22,13,21,13,20,13,19,13,18,13,17,13,17,14,16,14,15,14,14,14,13,14,12,14,11,14,10,14,9,14,8,14,7,14,7,15,6,15,5,15,4,15,4,16,3,16,2,16,1,16,0,16
39,10,39,10,38,10,37,10,36,10,35,10,34,10,34,11,34,12,33,12,32,12,31,12,31,13,30,13,29,13,28,13,27,13,26,13,26,14,25,14,24,14,23,14,22,14,21,14,21,15,20,15,19,15,18,15,17,15,16,15,16,16,15,16,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,31,10,31,11,30,11,29,11,28,11,27,11,26,11,25,11,24,11,23,11,22,11,21,11,21,12,20,12,19,12,18,12,17,12,16,12,15,12,14,12,14,13,13,13,12,13,12,14,11,14,11,15,10,15,9,15,8,15,7,15,6,15,5,15,4,15,3,15,2,15,1,15,1,16,0,16
39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,31,10,30,10,29,10,28,10,27,10,26,10,25,10,24,10,23,10,22,10,21,10,20,10,19,10,18,10,17,10,16,10,16,11,15,11,14,11,13,11,12,11,11,11,10,11,10,12,9,12,9,13,9,14,8,14,7,14,6,14,5,14,4,14,4,15,3,15,2,15,2,16,1,16,0,16
39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,31,10,30,10,29,10,28,10,27,10,26,10,25,10,24,10,23,10,22,10,21,10,21,11,21,12,21,13,20,13,19,13,18,13,18,14,17,14,16,14,15,14,14,14,14,15,13,15,12,15,11,15,10,15,9,15,8,15,7,15,6,15,5,15,5,16,4,16,3,16,2,16,1,16,0,16
39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,31,10,30,10,29,10,28,10,27,10,27,11,26,11,25,11,24,11,23,11,23,12,22,12,22,13,22,14,21,14,20,14,19,14,18,14,17,14,16,14,15,14,14,14,14,15,13,15,12,15,11,15,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,31,10,30,10,29,10,28,10,27,10,26,10,25,10,24,10,24,11,24,12,23,12,22,12,21,12,20,12,20,13,20,14,19,14,18,14,17,14,16,14,15,14,15,15,14,15,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
