y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50
39,30,39,30,39,30,39,30,39,30,39,30,38,30,37,30,36,30,35,30,34,30,33,30,32,30,31,30,30,30,30,29,29,29,28,29,27,29,26,29,26,28,25,28,24,28,23,28,22,28,22,27,21,27,20,27,19,27,18,27,17,27,16,27,15,27,14,27,14,26,13,26,12,26,11,26,10,26,9,26,9,25,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,30,39,30,39,30,39,30,38,30,37,30,36,30,35,30,35,29,34,29,33,29,33,28,32,28,31,28,30,28,29,28,29,27,28,27,28,26,27,26,26,26,26,25,26,24,25,24,24,24,24,23,23,23,22,23,21,23,20,23,20,24,19,24,18,24,17,24,16,24,15,24,14,24,13,24,12,24,11,24,10,24,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,30,39,30,39,30,39,30,38,30,38,29,37,29,36,29,35,29,34,29,33,29,32,29,32,28,31,28,30,28,29,28,28,28,27,28,27,27,26,27,25,27,24,27,24,26,24,25,24,24,24,23,23,23,22,23,21,23,20,23,19,23,18,23,17,23,16,23,15,23,14,23,13,23,12,23,11,23,10,23,9,23,8,23,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,30,39,30,39,30,39,30,39,30,39,30,38,30,37,30,36,30,35,30,34,30,33,30,32,30,31,30,30,30,29,30,28,30,27,30,26,30,25,30,24,30,24,29,23,29,22,29,21,29,20,29,19,29,19,28,18,28,17,28,16,28,15,28,15,27,14,27,14,26,13,26,12,26,12,25,11,25,10,25,9,25,8,25,7,25,6,25,5,25,4,25,3,25,2,25,2,24,1,24,0,24
39,30,39,30,39,30,39,30,39,30,39,30,38,30,37,30,36,30,35,30,34,30,33,30,32,30,32,29,31,29,30,29,29,29,28,29,27,29,26,29,25,29,25,28,24,28,23,28,22,28,21,28,20,28,19,28,18,28,17,28,17,27,16,27,15,27,14,27,13,27,12,27,11,27,11,26,10,26,9,26,8,26,8,25,7,25,6,25,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,30,39,30,39,30,39,30,39,30,39,30,38,30,37,30,36,30,35,30,34,30,33,30,32,30,31,30,30,30,29,30,28,30,27,30,26,30,25,30,24,30,24,29,23,29,22,29,21,29,20,29,19,29,18,29,17,29,17,28,16,28,15,28,14,28,13,28,13,27,12,27,11,27,10,27,9,27,8,27,7,27,7,26,6,26,6,25,5,25,5,24,4,24,3,24,2,24,1,24,0,24
39,30,39,30,39,30,39,30,38,30,37,30,36,30,35,30,34,30,33,30,32,30,32,31,31,31,30,31,29,31,28,31,27,31,26,31,25,31,24,31,23,31,22,31,21,31,20,31,19,31,18,31,17,31,17,30,16,30,15,30,15,29,14,29,13,29,13,28,12,28,11,28,11,27,10,27,9,27,8,27,8,26,7,26,7,25,6,25,5,25,5,24,4,24,3,24,2,24,1,24,0,24
39,30,39,30,38,30,37,30,36,30,35,30,34,30,33,30,32,30,31,30,30,30,29,30,28,30,27,30,26,30,25,30,24,30,23,30,22,30,22,31,21,31,21,32,20,32,19,32,18,32,17,32,16,32,16,31,16,30,16,29,16,28,15,28,14,28,13,28,13,27,13,26,12,26,12,25,11,25,10,25,9,25,8,25,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,30,39,30,39,30,39,30,39,30,39,30,38,30,37,30,36,30,35,30,34,30,33,30,32,30,31,30,30,30,29,30,28,30,27,30,26,30,25,30,24,30,23,30,22,30,21,30,21,29,21,28,20,28,19,28,18,28,17,28,16,28,16,27,15,27,14,27,14,26,13,26,12,26,11,26,10,26,9,26,8,26,7,26,6,26,6,25,5,25,4,25,3,25,2,25,1,25,1,24,0,24
39,30,39,30,39,30,39,30,39,30,39,30,38,30,37,30,36,30,36,29,35,29,34,29,33,29,32,29,31,29,31,28,30,28,30,27,29,27,29,26,28,26,27,26,27,25,26,25,26,24,25,24,24,24,23,24,22,24,21,24,20,24,19,24,18,24,17,24,16,24,15,24,14,24,13,24,12,24,11,24,10,24,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,30,39,30,39,30,39,30,39,30,39,30,38,30,38,29,37,29,36,29,35,29,34,29,33,29,32,29,31,29,30,29,29,29,28,29,28,28,28,27,27,27,26,27,26,26,26,25,25,25,24,25,23,25,22,25,21,25,20,25,19,25,18,25,17,25,16,25,15,25,14,25,14,24,13,24,12,24,11,24,10,24,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,30,39,30,39,30,39,30,38,30,37,30,36,30,35,30,34,30,33,30,32,30,31,30,30,30,29,30,28,30,27,30,26,30,26,29,25,29,24,29,23,29,23,28,22,28,21,28,21,27,21,26,20,26,20,25,20,24,19,24,19,23,18,23,17,23,16,23,15,23,14,23,13,23,13,24,12,24,11,24,10,24,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,30,39,30,38,30,38,29,37,29,36,29,35,29,34,29,33,29,32,29,31,29,30,29,29,29,28,29,27,29,26,29,25,29,24,29,23,29,23,28,23,27,23,26,22,26,22,25,21,25,20,25,20,24,20,23,19,23,18,23,17,23,17,22,16,22,15,22,14,22,13,22,13,23,12,23,11,23,10,23,9,23,8,23,7,23,6,23,5,23,4,23,3,23,2,23,1,23,1,24,0,24
39,30,39,30,39,30,39,30,39,30,39,30,38,30,37,30,36,30,35,30,34,30,33,30,32,30,32,29,31,29,30,29,30,28,30,27,30,26,29,26,28,26,27,26,27,25,26,25,25,25,24,25,23,25,22,25,21,25,20,25,19,25,18,25,17,25,16,25,15,25,15,24,14,24,13,24,12,24,11,24,10,24,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,30,39,30,39,30,39,30,38,30,37,30,37,29,36,29,35,29,34,29,34,28,34,27,34,26,33,26,32,26,31,26,30,26,29,26,28,26,28,25,28,24,28,23,27,23,26,23,25,23,24,23,23,23,22,23,21,23,20,23,19,23,18,23,17,23,16,23,15,23,14,23,14,24,13,24,12,24,11,24,10,24,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,30,39,30,38,30,37,30,36,30,35,30,34,30,34,29,33,29,32,29,32,28,31,28,30,28,29,28,28,28,28,27,27,27,27,26,26,26,25,26,24,26,23,26,22,26,21,26,21,25,21,24,20,24,19,24,18,24,17,24,17,23,16,23,15,23,15,22,14,22,13,22,12,22,11,22,10,22,9,22,8,22,7,22,7,23,6,23,5,23,5,24,4,24,3,24,2,24,1,24,0,24
39,30,39,30,39,30,39,30,38,30,37,30,36,30,35,30,34,30,33,30,32,30,31,30,30,30,29,30,28,30,27,30,26,30,25,30,24,30,23,30,22,30,21,30,20,30,19,30,18,30,17,30,16,30,15,30,15,31,14,31,13,31,12,31,11,31,11,30,10,30,10,29,10,28,10,27,9,27,9,26,8,26,7,26,7,25,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,30,39,30,39,30,39,30,39,30,39,30,38,30,37,30,37,29,36,29,36,28,35,28,34,28,33,28,32,28,31,28,30,28,29,28,28,28,28,27,27,27,26,27,25,27,24,27,24,26,23,26,22,26,21,26,20,26,19,26,18,26,17,26,16,26,16,25,15,25,14,25,13,25,12,25,11,25,10,25,9,25,8,25,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,30,39,30,39,30,39,30,39,30,39,30,38,30,37,30,36,30,35,30,34,30,33,30,32,30,31,30,31,29,31,28,30,28,29,28,28,28,27,28,27,27,26,27,25,27,25,26,24,26,23,26,22,26,21,26,21,25,20,25,20,24,19,24,18,24,17,24,16,24,15,24,14,24,13,24,12,24,11,24,10,24,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,30,39,30,39,30,39,30,39,30,39,30,38,30,37,30,36,30,35,30,35,29,34,29,33,29,32,29,31,29,30,29,29,29,28,29,27,29,26,29,25,29,24,29,23,29,22,29,21,29,20,29,20,28,20,27,19,27,18,27,17,27,16,27,15,27,15,26,14,26,13,26,12,26,11,26,11,25,11,24,10,24,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,30,39,30,39,30,39,30,39,30,39,30,38,30,37,30,36,30,35,30,35,29,34,29,34,28,33,28,32,28,31,28,31,27,30,27,29,27,29,26,28,26,27,26,26,26,25,26,25,25,24,25,23,25,22,25,21,25,20,25,19,25,19,24,18,24,17,24,16,24,15,24,14,24,13,24,12,24,11,24,10,24,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,30,39,30,38,30,37,30,36,30,35,30,34,30,33,30,32,30,31,30,30,30,29,30,28,30,27,30,26,30,25,30,24,30,23,30,22,30,21,30,20,30,19,30,18,30,17,30,17,31,17,32,16,32,15,32,14,32,13,32,12,32,11,32,10,32,9,32,9,31,9,30,9,29,8,29,8,28,7,28,7,27,7,26,7,25,6,25,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,30,39,30,38,30,37,30,37,29,36,29,35,29,34,29,33,29,32,29,31,29,31,28,30,28,30,27,29,27,29,26,29,25,28,25,27,25,27,24,27,23,27,22,26,22,25,22,24,22,23,22,22,22,21,22,20,22,19,22,19,23,18,23,17,23,17,24,16,24,15,24,14,24,13,24,12,24,11,24,10,24,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,30,39,30,39,30,39,30,39,30,39,30,38,30,37,30,36,30,35,30,34,30,33,30,32,30,31,30,30,30,29,30,28,30,28,29,27,29,27,28,26,28,25,28,24,28,23,28,22,28,22,27,21,27,20,27,19,27,18,27,18,26,17,26,16,26,15,26,15,25,14,25,13,25,12,25,11,25,10,25,9,25,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,30,39,30,39,30,39,30,39,30,39,30,38,30,37,30,36,30,35,30,34,30,34,29,34,28,33,28,32,28,31,28,30,28,30,27,29,27,28,27,27,27,27,26,26,26,25,26,24,26,23,26,22,26,21,26,20,26,19,26,18,26,17,26,16,26,15,26,14,26,13,26,12,26,11,26,10,26,10,25,9,25,8,25,7,25,6,25,5,25,4,25,3,25,2,25,2,24,1,24,0,24
39,30,39,30,39,30,39,30,39,30,39,30,38,30,37,30,36,30,35,30,35,29,34,29,33,29,32,29,31,29,30,29,29,29,28,29,27,29,26,29,26,28,25,28,25,27,25,26,24,26,23,26,22,26,21,26,20,26,20,25,19,25,18,25,17,25,16,25,15,25,15,24,14,24,13,24,12,24,11,24,10,24,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,30,39,30,38,30,38,29,37,29,36,29,35,29,35,28,34,28,34,27,34,26,34,25,33,25,32,25,31,25,31,24,30,24,30,23,29,23,28,23,27,23,27,22,26,22,25,22,24,22,23,22,22,22,21,22,20,22,19,22,19,23,18,23,17,23,16,23,15,23,14,23,13,23,12,23,11,23,10,23,10,24,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,30,39,30,39,30,39,30,39,30,39,30,38,30,37,30,36,30,35,30,34,30,33,30,32,30,31,30,30,30,29,30,28,30,27,30,26,30,26,29,25,29,24,29,23,29,22,29,21,29,20,29,19,29,18,29,17,29,16,29,16,28,16,27,15,27,14,27,13,27,13,26,12,26,12,25,11,25,10,25,9,25,8,25,7,25,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,30,39,30,39,30,39,30,39,30,39,30,38,30,37,30,36,30,35,30,34,30,33,30,32,30,31,30,30,30,29,30,29,29,28,29,27,29,26,29,25,29,24,29,23,29,22,29,21,29,21,28,20,28,19,28,18,28,17,28,16,28,15,28,14,28,13,28,12,28,11,28,10,28,10,27,9,27,8,27,7,27,6,27,5,27,4,27,3,27,3,26,2,26,2,25,2,24,1,24,0,24
39,30,39,30,39,30,39,30,38,30,37,30,36,30,35,30,34,30,33,30,32,30,31,30,30,30,29,30,29,29,28,29,27,29,26,29,25,29,24,29,23,29,23,28,22,28,22,27,21,27,20,27,19,27,18,27,18,26,17,26,16,26,16,25,16,24,15,24,15,23,14,23,13,23,12,23,11,23,10,23,10,24,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,30,39,30,39,30,39,30,39,30,39,30,38,30,37,30,36,30,35,30,34,30,33,30,32,30,31,30,30,30,30,29,30,28,29,28,28,28,27,28,26,28,25,28,24,28,23,28,22,28,21,28,21,27,20,27,19,27,18,27,17,27,16,27,16,26,15,26,14,26,14,25,13,25,12,25,11,25,10,25,9,25,8,25,7,25,6,25,5,25,4,25,3,25,2,25,1,25,1,24,0,24
