y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44
39,14,39,14,39,14,39,14,38,14,37,14,36,14,35,14,34,14,33,14,32,14,31,14,30,14,29,14,28,14,28,15,27,15,26,15,25,15,24,15,23,15,22,15,21,15,20,15,19,15,18,15,18,16,17,16,16,16,15,16,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,14,39,14,39,14,39,14,38,14,37,14,36,14,35,14,34,14,33,14,32,14,31,14,30,14,30,15,29,15,28,15,27,15,26,15,26,16,25,16,24,16,23,16,22,16,21,16,20,16,19,16,18,16,17,16,16,16,15,16,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,14,39,14,39,14,39,14,38,14,37,14,36,14,35,14,34,14,33,14,32,14,31,14,30,14,29,14,28,14,27,14,27,15,26,15,25,15,24,15,23,15,22,15,21,15,20,15,20,16,19,16,18,16,17,16,16,16,15,16,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,14,39,14,39,14,39,14,38,14,37,14,36,14,35,14,34,14,33,14,32,14,31,14,30,14,29,14,28,14,27,14,26,14,26,15,25,15,24,15,23,15,22,15,21,15,20,15,19,15,18,15,17,15,16,15,15,15,15,16,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,14,39,14,38,14,37,14,36,14,35,14,34,14,33,14,32,14,31,14,30,14,29,14,28,14,27,14,26,14,25,14,24,14,23,14,23,13,22,13,21,13,20,13,19,13,18,13,17,13,16,13,15,13,15,14,14,14,14,15,13,15,12,15,11,15,10,15,9,15,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,14,39,14,39,14,39,14,38,14,37,14,36,14,35,14,34,14,33,14,33,15,32,15,31,15,30,15,29,15,28,15,27,15,26,15,25,15,24,15,23,15,22,15,21,15,20,15,19,15,18,15,17,15,16,15,15,15,14,15,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,14,39,14,39,14,39,14,38,14,37,14,36,14,35,14,34,14,33,14,32,14,31,14,30,14,29,14,28,14,27,14,26,14,25,14,24,14,23,14,22,14,21,14,20,14,19,14,18,14,17,14,16,14,15,14,14,14,13,14,12,14,12,15,11,15,10,15,9,15,8,15,7,15,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,14,39,14,39,14,39,14,38,14,37,14,36,14,35,14,34,14,33,14,32,14,31,14,30,14,29,14,28,14,27,14,26,14,25,14,24,14,23,14,22,14,21,14,20,14,19,14,18,14,17,14,16,14,15,14,14,14,13,14,12,14,12,15,11,15,10,15,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,14,39,14,39,14,39,14,38,14,37,14,36,14,35,14,34,14,33,14,32,14,31,14,30,14,29,14,28,14,27,14,26,14,25,14,25,15,24,15,23,15,22,15,21,15,20,15,19,15,18,15,17,15,16,15,15,15,14,15,13,15,12,15,11,15,10,15,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,14,39,14,39,14,39,14,38,14,37,14,36,14,35,14,35,15,34,15,33,15,32,15,31,15,30,15,29,15,28,15,27,15,26,15,25,15,24,15,23,15,22,15,21,15,20,15,19,15,18,15,17,15,16,15,15,15,14,15,13,15,12,15,11,15,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,14,39,14,39,14,39,14,38,14,37,14,36,14,35,14,34,14,33,14,32,14,31,14,30,14,30,15,30,16,29,16,28,16,27,16,26,16,25,16,24,16,23,16,22,16,21,16,20,16,19,16,18,16,17,16,16,16,15,16,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,14,39,14,38,14,37,14,36,14,35,14,34,14,33,14,32,14,31,14,31,15,30,15,29,15,28,15,27,15,27,16,26,16,26,17,25,17,24,17,23,17,22,17,21,17,20,17,19,17,18,17,17,17,16,17,15,17,14,17,13,17,12,17,11,17,10,17,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,14,39,14,39,14,39,14,38,14,37,14,36,14,35,14,34,14,33,14,32,14,31,14,30,14,29,14,28,14,27,14,26,14,25,14,24,14,23,14,22,14,21,14,21,15,20,15,19,15,18,15,17,15,16,15,15,15,15,16,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,14,39,14,39,14,39,14,38,14,37,14,36,14,35,14,34,14,33,14,32,14,31,14,30,14,29,14,28,14,28,15,27,15,26,15,25,15,24,15,23,15,22,15,21,15,20,15,20,16,19,16,18,16,17,16,16,16,15,16,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,14,39,14,39,14,39,14,38,14,37,14,36,14,35,14,34,14,33,14,32,14,31,14,30,14,29,14,28,14,27,14,26,14,25,14,24,14,23,14,22,14,21,14,20,14,19,14,18,14,18,15,17,15,16,15,15,15,14,15,13,15,12,15,11,15,10,15,9,15,8,15,7,15,6,15,5,15,4,15,3,15,3,16,2,16,1,16,0,16
39,14,39,14,39,14,39,14,38,14,37,14,36,14,35,14,34,14,34,15,33,15,32,15,31,15,30,15,29,15,28,15,27,15,26,15,25,15,24,15,23,15,22,15,21,15,21,16,20,16,19,16,18,16,17,16,16,16,15,16,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,14,39,14,39,14,39,14,38,14,37,14,36,14,36,15,35,15,34,15,33,15,32,15,31,15,31,16,30,16,29,16,28,16,27,16,26,16,25,16,24,16,23,16,22,16,21,16,20,16,19,16,18,16,17,16,16,16,15,16,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,14,39,14,39,14,39,14,38,14,37,14,36,14,35,14,34,14,33,14,32,14,31,14,30,14,29,14,28,14,27,14,26,14,25,14,24,14,23,14,22,14,21,14,20,14,19,14,18,14,17,14,16,14,15,14,14,14,13,14,13,15,12,15,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,14,39,14,39,14,39,14,38,14,37,14,36,14,35,14,34,14,33,14,32,14,31,14,30,14,29,14,28,14,27,14,26,14,25,14,25,15,24,15,23,15,22,15,21,15,20,15,19,15,18,15,17,15,16,15,15,15,14,15,13,15,12,15,11,15,10,15,9,15,8,15,7,15,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
