y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62
39,10,39,10,39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,31,10,30,10,29,10,28,10,28,9,28,8,27,8,26,8,25,8,24,8,24,7,23,7,22,7,22,6,22,5,21,5,21,4,21,3,20,3,19,3,19,2,18,2,18,1,17,1,16,1,15,1,14,1,14,2,13,2,13,3,13,4,12,4,11,4,11,5,11,6,11,7,10,7,9,7,9,8,9,9,9,10,9,11,8,11,7,11,6,11,5,11,5,12,4,12,3,12,2,12,1,12,0,12
39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,38,10,37,10,36,10,35,10,35,11,34,11,33,11,33,12,32,12,32,13,32,14,31,14,31,15,30,15,30,16,30,17,29,17,29,18,28,18,27,18,26,18,26,17,25,17,24,17,24,16,23,16,23,15,22,15,21,15,20,15,19,15,19,14,19,13,18,13,17,13,16,13,15,13,15,12,14,12,13,12,12,12,11,12,10,12,9,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1,12,0,12
39,10,39,10,39,10,39,10,39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,31,10,30,10,29,10,28,10,27,10,26,10,25,10,24,10,24,9,23,9,22,9,21,9,21,8,20,8,19,8,19,7,18,7,18,6,18,5,17,5,17,4,17,3,16,3,15,3,15,2,15,3,14,3,14,4,14,5,13,5,12,5,12,6,12,7,11,7,11,8,11,9,11,10,10,10,9,10,8,10,8,11,7,11,6,11,5,11,5,12,4,12,3,12,2,12,1,12,0,12
39,10,39,10,39,10,39,10,39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,31,10,30,10,29,10,28,10,28,11,27,11,26,11,25,11,25,12,24,12,23,12,22,12,21,12,20,12,20,13,20,14,20,15,19,15,19,16,18,16,17,16,17,17,16,17,16,18,16,19,15,19,15,20,14,20,14,19,14,18,14,17,13,17,13,16,12,16,11,16,11,15,11,14,10,14,10,13,9,13,9,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1,12,0,12
39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,38,10,37,10,36,10,35,10,34,10,34,9,33,9,33,8,32,8,31,8,30,8,29,8,28,8,27,8,26,8,25,8,24,8,23,8,22,8,21,8,20,8,19,8,18,8,17,8,16,8,15,8,15,9,14,9,13,9,12,9,12,10,11,10,11,11,10,11,9,11,8,11,7,11,6,11,6,12,5,12,4,12,3,12,2,12,1,12,0,12
39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,38,10,38,11,37,11,36,11,35,11,34,11,34,12,33,12,32,12,31,12,31,13,30,13,29,13,28,13,27,13,26,13,25,13,25,14,24,14,24,15,23,15,23,16,23,17,22,17,21,17,20,17,20,18,19,18,19,17,18,17,18,16,17,16,16,16,15,16,15,15,15,14,14,14,13,14,12,14,11,14,11,13,10,13,10,12,9,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1,12,0,12
39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,38,10,37,10,36,10,35,10,35,11,34,11,33,11,32,11,31,11,30,11,29,11,29,12,28,12,27,12,26,12,26,13,26,14,25,14,24,14,24,15,23,15,22,15,21,15,20,15,20,16,19,16,19,15,19,14,18,14,17,14,16,14,16,13,15,13,14,13,13,13,12,13,11,13,10,13,9,13,8,13,7,13,6,13,5,13,4,13,3,13,3,12,2,12,1,12,0,12
39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,32,11,31,11,30,11,29,11,29,12,28,12,27,12,26,12,25,12,24,12,23,12,22,12,21,12,20,12,19,12,19,13,18,13,18,14,18,15,18,16,17,16,17,17,17,16,17,15,16,15,15,15,14,15,13,15,13,14,12,14,12,13,12,12,11,12,10,12,9,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1,12,0,12
39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,31,10,30,10,29,10,28,10,27,10,26,10,25,10,24,10,24,11,23,11,22,11,21,11,20,11,19,11,18,11,17,11,16,11,15,11,14,11,14,12,14,13,14,14,13,14,13,15,13,16,12,16,12,17,12,16,11,16,11,15,10,15,10,14,9,14,8,14,7,14,6,14,6,13,5,13,5,12,4,12,3,12,2,12,1,12,0,12
39,10,39,10,39,10,39,10,38,10,37,10,36,10,35,10,34,10,34,9,33,9,32,9,32,8,31,8,30,8,30,7,29,7,29,6,29,5,29,4,28,4,28,3,27,3,27,2,27,1,27,2,27,3,26,3,26,4,25,4,24,4,24,5,23,5,22,5,21,5,20,5,20,6,19,6,18,6,18,7,17,7,16,7,16,8,15,8,15,9,14,9,13,9,13,10,12,10,11,10,11,11,10,11,9,11,9,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1,12,0,12
39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,31,10,30,10,29,10,28,10,27,10,26,10,25,10,24,10,23,10,22,10,21,10,20,10,19,10,18,10,17,10,16,10,15,10,14,10,13,10,12,10,12,11,11,11,10,11,9,11,9,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1,12,0,12
39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,31,10,30,10,29,10,29,9,28,9,27,9,26,9,25,9,24,9,23,9,22,9,21,9,20,9,19,9,18,9,17,9,16,9,15,9,14,9,13,9,12,9,11,9,10,9,10,10,9,10,8,10,8,11,7,11,6,11,5,11,4,11,4,12,3,12,2,12,1,12,0,12
39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,38,10,37,10,36,10,36,9,35,9,34,9,33,9,32,9,31,9,30,9,29,9,28,9,28,8,28,7,27,7,26,7,25,7,24,7,24,8,23,8,22,8,21,8,21,9,20,9,19,9,18,9,17,9,16,9,15,9,14,9,13,9,12,9,11,9,10,9,9,9,8,9,8,10,7,10,7,11,6,11,6,12,5,12,4,12,3,12,2,12,1,12,0,12
39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,31,10,30,10,29,10,28,10,27,10,26,10,25,10,24,10,24,9,23,9,22,9,21,9,21,8,20,8,19,8,18,8,17,8,16,8,15,8,15,9,14,9,13,9,12,9,11,9,11,10,10,10,9,10,9,11,8,11,7,11,6,11,5,11,5,12,4,12,3,12,2,12,1,12,0,12
39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,31,10,30,10,29,10,28,10,27,10,26,10,25,10,24,10,23,10,22,10,21,10,20,10,19,10,18,10,17,10,16,10,16,9,15,9,14,9,13,9,13,10,13,11,12,11,11,11,10,11,9,11,8,11,7,11,6,11,5,11,4,11,3,11,2,11,1,11,1,12,0,12
39,10,39,10,39,10,39,10,39,10,39,10,38,10,37,10,37,11,37,12,36,12,35,12,34,12,34,13,33,13,32,13,31,13,31,14,30,14,30,15,30,16,30,17,30,18,29,18,29,19,29,20,29,19,28,19,28,18,27,18,27,17,26,17,25,17,24,17,23,17,22,17,22,16,22,15,21,15,20,15,19,15,18,15,17,15,17,14,16,14,15,14,14,14,13,14,12,14,11,14,10,14,10,13,9,13,8,13,7,13,6,13,5,13,4,13,3,13,2,13,1,13,1,12,0,12
39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,32,9,32,8,31,8,31,7,30,7,30,6,30,5,30,4,30,3,30,2,30,1,30,0,29,0,28,0,28,1,28,2,28,3,27,3,27,4,27,5,26,5,26,6,25,6,24,6,23,6,23,7,22,7,22,8,21,8,20,8,19,8,19,9,18,9,17,9,16,9,15,9,14,9,13,9,12,9,11,9,10,9,10,10,9,10,8,10,8,11,7,11,6,11,5,11,5,12,4,12,3,12,2,12,1,12,0,12
39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,38,10,38,9,38,8,37,8,36,8,35,8,34,8,34,7,33,7,33,6,32,6,31,6,31,5,30,5,29,5,28,5,27,5,26,5,26,6,25,6,24,6,24,7,23,7,22,7,21,7,21,8,20,8,19,8,18,8,18,9,17,9,17,10,16,10,15,10,14,10,14,11,14,12,13,12,12,12,11,12,10,12,9,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1,12,0,12
39,10,39,10,39,10,39,10,39,10,39,10,38,10,37,10,36,10,35,10,34,10,34,11,34,12,33,12,33,13,32,13,32,14,32,15,32,16,32,17,32,18,31,18,30,18,30,19,30,20,29,20,28,20,28,19,27,19,26,19,26,18,26,17,25,17,24,17,23,17,22,17,21,17,21,16,20,16,20,15,20,14,19,14,18,14,18,13,17,13,16,13,15,13,14,13,13,13,12,13,11,13,11,12,10,12,9,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1,12,0,12
