y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60
39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,33,36,32,36,31,36,30,36,29,36,28,36,28,35,27,35,27,34,26,34,25,34,25,33,24,33,23,33,22,33,21,33,21,32,20,32,19,32,18,32,17,32,16,32,15,32,14,32,14,31,14,30,13,30,12,30,11,30,10,30,10,29,9,29,9,28,9,27,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,33,36,32,36,31,36,30,36,29,36,28,36,27,36,26,36,26,35,25,35,24,35,23,35,22,35,21,35,20,35,20,34,19,34,18,34,17,34,16,34,15,34,15,33,14,33,14,32,13,32,12,32,11,32,10,32,10,31,10,30,9,30,8,30,7,30,6,30,5,30,4,30,3,30,2,30,1,30,1,29,1,28,0,28
39,36,39,36,38,36,37,36,36,36,35,36,34,36,34,35,33,35,32,35,31,35,31,34,30,34,29,34,28,34,28,33,27,33,26,33,26,32,25,32,24,32,23,32,22,32,21,32,20,32,20,31,19,31,18,31,18,30,17,30,16,30,16,29,16,28,16,27,15,27,15,26,14,26,13,26,13,25,13,24,12,24,11,24,10,24,10,23,10,22,10,23,9,23,9,24,8,24,8,25,7,25,6,25,6,26,6,27,5,27,5,28,4,28,3,28,2,28,1,28,0,28
39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,33,36,32,36,31,36,30,36,29,36,28,36,27,36,26,36,25,36,24,36,23,36,23,35,22,35,21,35,21,34,20,34,19,34,19,33,18,33,18,32,17,32,16,32,15,32,15,31,15,30,15,29,14,29,13,29,13,28,12,28,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,33,36,32,36,31,36,30,36,29,36,29,35,29,34,29,33,28,33,27,33,27,32,26,32,25,32,25,31,24,31,24,30,23,30,22,30,21,30,20,30,19,30,18,30,17,30,16,30,15,30,14,30,13,30,12,30,11,30,10,30,10,29,9,29,8,29,7,29,6,29,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,33,36,32,36,31,36,30,36,29,36,28,36,27,36,26,36,25,36,24,36,23,36,22,36,21,36,20,36,20,37,19,37,18,37,17,37,16,37,15,37,14,37,13,37,12,37,11,37,10,37,9,37,9,36,8,36,8,35,8,34,7,34,7,33,7,32,7,31,6,31,5,31,4,31,4,30,3,30,3,29,3,28,2,28,1,28,0,28
39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,33,36,32,36,31,36,30,36,30,35,29,35,29,34,28,34,27,34,26,34,25,34,24,34,24,33,24,32,24,31,23,31,22,31,22,30,21,30,20,30,19,30,19,29,19,28,18,28,18,27,17,27,16,27,15,27,15,26,14,26,13,26,12,26,11,26,10,26,9,26,9,27,8,27,7,27,6,27,5,27,4,27,4,28,3,28,2,28,1,28,0,28
39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,33,36,32,36,31,36,31,37,30,37,30,38,29,38,29,39,28,39,28,38,28,37,27,37,27,36,26,36,25,36,24,36,23,36,22,36,21,36,21,35,20,35,19,35,18,35,17,35,17,34,17,33,16,33,16,32,15,32,14,32,13,32,12,32,11,32,11,31,11,30,10,30,9,30,8,30,7,30,6,30,5,30,5,29,4,29,3,29,2,29,2,28,1,28,0,28
39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,33,36,32,36,31,36,30,36,29,36,28,36,27,36,26,36,25,36,24,36,23,36,23,35,22,35,21,35,21,34,20,34,19,34,18,34,17,34,16,34,15,34,15,33,15,32,15,31,14,31,14,30,14,29,13,29,12,29,11,29,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,33,36,32,36,31,36,30,36,29,36,29,35,28,35,27,35,26,35,25,35,24,35,24,34,24,33,23,33,22,33,21,33,20,33,20,32,20,31,19,31,18,31,18,30,18,29,17,29,16,29,15,29,15,28,14,28,14,27,14,26,13,26,12,26,12,27,11,27,10,27,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,36,39,36,39,36,39,36,39,36,39,36,38,36,37,36,37,35,37,34,37,33,36,33,36,32,35,32,35,31,34,31,33,31,32,31,32,30,32,29,31,29,31,28,31,27,30,27,29,27,28,27,27,27,26,27,26,26,26,25,26,24,25,24,25,25,24,25,23,25,22,25,21,25,20,25,19,25,18,25,18,26,18,27,18,28,17,28,16,28,15,28,14,28,13,28,12,28,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,38,36,38,35,37,35,36,35,36,34,35,34,34,34,34,33,33,33,32,33,31,33,30,33,29,33,28,33,28,32,28,31,27,31,26,31,25,31,24,31,23,31,22,31,22,30,21,30,20,30,19,30,18,30,17,30,16,30,16,29,15,29,15,28,14,28,13,28,12,28,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
