y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69,y_70,x_70,y_71,x_71,y_72,x_72,y_73,x_73,y_74,x_74,y_75,x_75,y_76,x_76,y_77,x_77,y_78,x_78,y_79,x_79,y_80,x_80,y_81,x_81,y_82,x_82,y_83,x_83,y_84,x_84,y_85,x_85,y_86,x_86,y_87,x_87,y_88,x_88,y_89,x_89,y_90,x_90,y_91,x_91,y_92,x_92,y_93,x_93,y_94,x_94,y_95,x_95,y_96,x_96,y_97,x_97,y_98,x_98,y_99,x_99,y_100,x_100
39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,34,3,33,3,33,4,32,4,31,4,30,4,30,5,29,5,28,5,27,5,27,6,27,7,27,8,27,9,27,10,27,11,26,11,25,11,24,11,24,12,23,12,22,12,21,12,21,13,20,13,20,14,20,15,20,16,20,17,19,17,18,17,18,18,18,19,17,19,16,19,15,19,15,20,15,21,14,21,13,21,13,22,13,23,13,24,13,25,13,26,13,27,13,28,13,29,13,30,12,30,12,31,12,32,12,33,12,34,12,35,11,35,10,35,10,36,10,35,9,35,9,34,9,33,8,33,7,33,6,33,6,32,6,31,5,31,5,30,4,30,4,29,4,28,3,28,2,28,1,28,0,28
39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,30,1,29,1,28,1,27,1,26,1,25,1,24,1,24,2,24,3,24,4,23,4,23,5,23,6,23,7,23,8,23,9,22,9,21,9,21,10,21,11,21,12,20,12,20,13,20,14,19,14,18,14,18,15,17,15,17,16,16,16,15,16,15,17,15,18,14,18,14,19,14,20,14,21,14,22,13,22,12,22,12,23,11,23,11,24,10,24,10,25,9,25,9,26,8,26,7,26,7,27,6,27,5,27,5,28,4,28,3,28,2,28,1,28,0,28
39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,38,2,38,3,37,3,37,4,37,5,37,6,37,7,36,7,35,7,35,8,35,9,35,10,35,11,34,11,33,11,33,12,32,12,32,13,32,14,32,15,32,16,32,17,31,17,31,18,31,19,31,20,30,20,29,20,28,20,27,20,27,21,27,22,27,23,27,24,27,25,26,25,26,26,25,26,25,27,24,27,23,27,22,27,21,27,20,27,19,27,18,27,17,27,16,27,15,27,14,27,13,27,12,27,11,27,10,27,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,34,3,33,3,32,3,31,3,31,4,30,4,29,4,29,5,28,5,27,5,26,5,25,5,24,5,23,5,22,5,21,5,21,6,20,6,19,6,19,7,19,8,18,8,17,8,16,8,16,9,16,10,16,11,16,12,16,13,15,13,15,14,14,14,13,14,13,15,13,16,13,17,12,17,12,18,11,18,11,19,11,20,10,20,10,21,9,21,9,22,9,23,9,24,9,25,8,25,8,26,7,26,6,26,5,26,4,26,3,26,2,26,2,27,2,28,1,28,0,28
39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,32,1,31,1,30,1,29,1,29,0,28,0,27,0,26,0,25,0,24,0,23,0,22,0,21,0,20,0,19,0,19,1,19,2,19,3,19,4,19,5,19,6,18,6,18,7,17,7,17,8,16,8,16,9,16,10,15,10,14,10,13,10,13,11,12,11,12,12,12,13,12,14,12,15,12,16,12,17,12,18,12,19,11,19,11,20,10,20,9,20,8,20,8,21,7,21,7,22,7,23,7,24,6,24,6,25,6,26,5,26,4,26,3,26,3,27,2,27,1,27,1,28,0,28
39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,38,2,38,3,37,3,36,3,35,3,34,3,34,4,33,4,33,5,32,5,32,6,31,6,31,7,30,7,30,8,29,8,28,8,28,9,27,9,26,9,26,10,25,10,25,11,25,12,24,12,24,13,24,14,23,14,23,15,22,15,22,16,22,17,22,18,21,18,21,19,20,19,19,19,19,20,19,21,19,22,19,23,19,24,19,25,19,26,19,27,18,27,17,27,17,28,17,29,17,30,17,31,17,32,17,33,17,34,17,35,16,35,15,35,14,35,14,34,13,34,12,34,11,34,11,33,11,32,10,32,9,32,9,31,8,31,8,30,7,30,6,30,5,30,4,30,4,29,4,28,3,28,2,28,1,28,0,28
39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,33,3,32,3,31,3,31,4,30,4,30,5,29,5,28,5,28,6,27,6,26,6,25,6,24,6,24,7,23,7,22,7,21,7,21,8,20,8,19,8,19,9,19,10,19,11,18,11,18,12,17,12,17,13,16,13,16,14,15,14,15,15,14,15,14,16,13,16,13,17,13,18,12,18,11,18,10,18,10,19,10,20,10,21,9,21,9,22,9,23,9,24,9,25,8,25,8,26,7,26,7,27,6,27,5,27,4,27,3,27,3,28,2,28,1,28,0,28
39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,38,2,38,3,37,3,37,4,36,4,35,4,35,5,34,5,34,6,34,7,33,7,32,7,31,7,31,8,31,9,31,10,30,10,30,11,30,12,30,13,30,14,29,14,28,14,28,15,28,16,28,17,28,18,28,19,28,20,27,20,27,21,27,22,27,23,27,24,27,25,27,26,26,26,26,27,25,27,24,27,23,27,22,27,21,27,20,27,19,27,19,28,18,28,17,28,16,28,15,28,14,28,13,28,12,28,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,38,2,38,3,37,3,36,3,36,4,35,4,34,4,34,5,33,5,33,6,33,7,33,8,33,9,33,10,33,11,33,12,32,12,32,13,31,13,31,14,31,15,31,16,31,17,31,18,31,19,30,19,30,20,30,21,30,22,30,23,29,23,29,24,29,25,29,26,29,27,29,28,29,29,28,29,28,30,28,31,28,32,28,33,28,34,28,35,28,36,28,37,28,38,28,39,27,39,26,39,25,39,25,38,25,37,25,36,25,35,24,35,24,34,23,34,22,34,22,33,22,32,21,32,20,32,19,32,18,32,18,31,17,31,17,30,16,30,15,30,14,30,14,29,13,29,12,29,12,28,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,38,2,37,2,36,2,36,3,35,3,35,4,34,4,33,4,32,4,31,4,30,4,29,4,28,4,27,4,27,5,27,6,27,7,26,7,26,8,26,9,25,9,24,9,23,9,22,9,22,10,22,11,21,11,20,11,19,11,19,12,19,13,19,14,19,15,19,16,19,17,18,17,18,18,18,19,18,20,17,20,17,21,16,21,15,21,15,22,14,22,13,22,12,22,12,23,12,24,11,24,11,25,10,25,9,25,8,25,7,25,6,25,5,25,5,26,5,27,4,27,4,28,3,28,2,28,1,28,0,28
